step,time,jpos,jvel,mlen,act,reward,cumulative_reward,solved,pose_err,muscle_fatigue,muscle_activation,muscle_recovery,avg_fatigue,force_scale,activation_slowdown,ctrl
0,0.0,[-8.6991e-05],[-0.0033],[-0.0006  0.2104  0.1262  0.1169  0.3197  0.259   0.1117],[0.0232 0.0673 0.0475 0.2189 0.078  0.0442],-1.9097226727243655,-1.9097226727243655,False,[1.7001],[0.9426 0.7596 0.8768 0.7055 0.9036 0.9466],[0.0277 0.0826 0.0575 0.2945 0.0964 0.0534],[0.0297 0.1577 0.0657 0.     0.     0.    ],0.8557653798585948,0.7579595287238772,2.3079500752261346,[0.     0.0277 0.0826 0.0575 0.2945 0.0964 0.0534]
1,0.02,[-0.0001],[-0.001],[-0.0008  0.2104  0.1262  0.1169  0.3197  0.259   0.1117],[0.0229 0.0661 0.0467 0.2681 0.0922 0.0516],-1.9502831216333876,-3.860005794357753,False,[1.7001],[0.9423 0.7594 0.8765 0.7055 0.9036 0.9466],[0.0203 0.057  0.0408 0.2945 0.0964 0.0534],[3.7347e-02 1.8356e-01 8.2632e-02 1.3263e-06 1.6987e-06 1.7795e-06],0.8556619790278656,0.7579595287238772,2.3079500752261346,[0.     0.0203 0.057  0.0408 0.2945 0.0964 0.0534]
2,0.04,[-0.0001],[-9.055e-05],[-0.0009  0.2104  0.1262  0.1169  0.3197  0.259   0.1117],[0.022  0.0629 0.0447 0.2847 0.0954 0.0531],-1.9628830927773184,-5.822888887135072,False,[1.7001],[0.9421 0.7592 0.8763 0.7056 0.9036 0.9466],[0.0151 0.0405 0.0295 0.2944 0.0964 0.0534],[4.2857e-02 2.0031e-01 9.4181e-02 1.5464e-07 1.2075e-06 1.4943e-06],0.8555570978860413,0.7579595287238772,2.3079500752261346,[0.     0.0151 0.0405 0.0295 0.2944 0.0964 0.0534]
3,0.06,[-0.0001],[0.0001],[-0.0009  0.2104  0.1262  0.1169  0.3197  0.259   0.1117],[0.0208 0.0589 0.042  0.2907 0.0961 0.0533],-1.9666430136354587,-7.78953190077053,False,[1.7001],[0.9418 0.759  0.8761 0.7056 0.9036 0.9466],[0.0113 0.0293 0.0216 0.2944 0.0964 0.0534],[4.6917e-02 2.1171e-01 1.0231e-01 1.1899e-06 1.3497e-06 1.5401e-06],0.8554512414723651,0.7579595287238772,2.3079500752261346,[0.     0.0113 0.0293 0.0216 0.2944 0.0964 0.0534]
4,0.08,[-0.0001],[0.0001],[-0.0008  0.2104  0.1262  0.1169  0.3197  0.259   0.1117],[0.0195 0.0544 0.039  0.293  0.0963 0.0534],-1.9673376918657905,-9.75686959263632,False,[1.7001],[0.9415 0.7588 0.8758 0.7057 0.9037 0.9466],[0.0085 0.0215 0.016  0.2943 0.0963 0.0534],[4.9955e-02 2.1974e-01 1.0817e-01 2.7572e-07 1.3087e-06 1.5328e-06],0.8553447204069308,0.7579595287238772,2.3079500752261346,[0.     0.0085 0.0215 0.016  0.2943 0.0963 0.0534]
5,0.1,[-0.0001],[8.5592e-05],[-0.0008  0.2104  0.1262  0.1169  0.3197  0.259   0.1117],[0.0181 0.0498 0.0359 0.2938 0.0963 0.0534],-1.966974530886287,-11.723844123522607,False,[1.7001],[0.9413 0.7586 0.8756 0.7057 0.9037 0.9466],[0.0065 0.0159 0.012  0.2943 0.0963 0.0534],[5.2259e-02 2.2551e-01 1.1247e-01 1.0832e-06 1.3206e-06 1.5340e-06],0.8552377379995018,0.7579595287238772,2.3079500752261346,[0.     0.0065 0.0159 0.012  0.2943 0.0963 0.0534]
6,0.12,[-0.0001],[5.1339e-05],[-0.0008  0.2104  0.1262  0.1169  0.3197  0.259   0.1117],[0.0167 0.0454 0.0329 0.2941 0.0963 0.0534],-1.9662955888166265,-13.690139712339233,False,[1.7001],[0.941  0.7584 0.8753 0.7058 0.9037 0.9466],[0.005  0.0119 0.009  0.2942 0.0963 0.0534],[5.4031e-02 2.2975e-01 1.1567e-01 3.7047e-07 1.3172e-06 1.5339e-06],0.8551304324861485,0.7579595287238772,2.3079500752261346,[0.     0.005  0.0119 0.009  0.2942 0.0963 0.0534]
7,0.14,[-0.0001],[3.1589e-05],[-0.0008  0.2104  0.1262  0.1169  0.3197  0.259   0.1117],[0.0153 0.0412 0.03   0.2941 0.0963 0.0534],-1.965574094460043,-15.655713806799277,False,[1.7001],[0.9407 0.7582 0.8751 0.7058 0.9037 0.9466],[0.0038 0.0089 0.0068 0.2942 0.0963 0.0534],[5.5414e-02 2.3289e-01 1.1808e-01 9.9984e-07 1.3183e-06 1.5339e-06],0.8550229005674449,0.7579595287238772,2.3079500752261346,[0.     0.0038 0.0089 0.0068 0.2942 0.0963 0.0534]
8,0.16,[-0.0001],[2.1545e-05],[-0.0008  0.2104  0.1262  0.1169  0.3197  0.259   0.1117],[0.014  0.0372 0.0272 0.2941 0.0963 0.0534],-1.9649093770330612,-17.620623183832336,False,[1.7001],[0.9405 0.758  0.8748 0.7059 0.9037 0.9466],[0.003  0.0068 0.0052 0.2941 0.0963 0.0534],[5.6510e-02 2.3526e-01 1.1993e-01 4.4456e-07 1.3181e-06 1.5340e-06],0.8549152110387751,0.7579595287238772,2.3079500752261346,[0.     0.003  0.0068 0.0052 0.2941 0.0963 0.0534]
9,0.18,[-0.0001],[1.6618e-05],[-0.0008  0.2104  0.1262  0.1169  0.3197  0.259   0.1117],[0.0127 0.0336 0.0246 0.2941 0.0963 0.0534],-1.9643426440747742,-19.584965827907112,False,[1.7001],[0.9402 0.7577 0.8746 0.7059 0.9037 0.9466],[0.0024 0.0052 0.004  0.2941 0.0963 0.0534],[5.7394e-02 2.3706e-01 1.2137e-01 9.3478e-07 1.3183e-06 1.5340e-06],0.8548074136249836,0.7579595287238772,2.3079500752261346,[0.     0.0024 0.0052 0.004  0.2941 0.0963 0.0534]
