step,time,jpos,jvel,mlen,act,reward,cumulative_reward,solved,pose_err,muscle_fatigue,muscle_activation,muscle_recovery,avg_fatigue,force_scale,activation_slowdown,ctrl
0,0.0,[0.0074],[0.8124],[0.0631 0.2778 0.1667 0.1543 0.4218 0.3416 0.1472],[0.001 0.001 0.001 0.786 0.786 0.786],-2.8270758259245006,-2.8270758259245006,False,[1.6926],[0. 0. 0. 0. 0. 0.],[5.5278e-04 5.5278e-04 5.5278e-04 9.2414e-01 9.2414e-01 9.2414e-01],[0.9994 0.9994 0.9994 0.0759 0.0759 0.0759],0.0,1.0,1.0,"[0.0000e+00 5.5278e-04 5.5278e-04 5.5278e-04 9.2414e-01 9.2414e-01
 9.2414e-01]"
1,0.02,[0.0364],[1.9839],[0.3092 0.2784 0.1673 0.1549 0.4215 0.3413 0.1468],[0.001  0.001  0.001  0.8827 0.8827 0.8827],-2.9377277783153346,-5.764803604239836,False,[1.6636],[1.0083e-07 1.0083e-07 1.0083e-07 1.6856e-04 1.6856e-04 1.6856e-04],[5.5268e-04 5.5268e-04 5.5268e-04 9.2397e-01 9.2397e-01 9.2397e-01],[0.9994 0.9994 0.9994 0.0759 0.0759 0.0759],8.43321477793157e-05,1.0,1.0,"[0.0000e+00 5.5268e-04 5.5268e-04 5.5268e-04 9.2397e-01 9.2397e-01
 9.2397e-01]"
2,0.04,[0.0896],[3.2153],[0.7612 0.2795 0.1684 0.1561 0.4209 0.3407 0.146 ],[0.001  0.001  0.001  0.9112 0.9112 0.9112],-2.9256190540106704,-8.690422658250506,False,[1.6104],[2.0164e-07 2.0164e-07 2.0164e-07 3.3710e-04 3.3710e-04 3.3710e-04],[5.5268e-04 5.5268e-04 5.5268e-04 9.2444e-01 9.2444e-01 9.2444e-01],[0.9994 0.9994 0.9994 0.0752 0.0752 0.0752],0.00016864875483043866,1.0,1.0,"[0.0000e+00 5.5268e-04 5.5268e-04 5.5268e-04 9.2444e-01 9.2444e-01
 9.2444e-01]"
3,0.06,[0.1676],[4.469],[1.4248 0.2813 0.1702 0.1579 0.4198 0.3397 0.1449],[0.001  0.001  0.001  0.9198 0.9198 0.9198],-2.86006208895986,-11.550484747210366,False,[1.5324],[3.0244e-07 3.0244e-07 3.0244e-07 5.0562e-04 5.0562e-04 5.0562e-04],[5.5268e-04 5.5268e-04 5.5268e-04 9.2399e-01 9.2399e-01 9.2399e-01],[0.9994 0.9994 0.9994 0.0755 0.0755 0.0755],0.00025296060522961815,1.0,1.0,"[0.0000e+00 5.5268e-04 5.5268e-04 5.5268e-04 9.2399e-01 9.2399e-01
 9.2399e-01]"
4,0.08,[0.2709],[5.7381],[2.303  0.2837 0.1726 0.1603 0.4181 0.3379 0.1434],[0.001  0.001  0.001  0.9229 0.9229 0.9229],-2.7611723127295082,-14.311657059939874,False,[1.4291],[4.0325e-07 4.0325e-07 4.0325e-07 6.7415e-04 6.7415e-04 6.7415e-04],[5.5268e-04 5.5268e-04 5.5268e-04 9.2439e-01 9.2439e-01 9.2439e-01],[0.9994 0.9994 0.9994 0.0749 0.0749 0.0749],0.00033727843412897674,1.0,1.0,"[0.0000e+00 5.5268e-04 5.5268e-04 5.5268e-04 9.2439e-01 9.2439e-01
 9.2439e-01]"
5,0.1,[0.3997],[7.0121],[3.3977 0.2868 0.1757 0.1634 0.4154 0.3353 0.1416],[0.001  0.001  0.001  0.9236 0.9236 0.9236],-2.6334309940292218,-16.945088053969094,False,[1.3003],[5.0406e-07 5.0406e-07 5.0406e-07 8.4257e-04 8.4257e-04 8.4257e-04],[5.5268e-04 5.5268e-04 5.5268e-04 9.2399e-01 9.2399e-01 9.2399e-01],[0.9994 0.9994 0.9994 0.0752 0.0752 0.0752],0.0004215384940398571,1.0,1.0,"[0.0000e+00 5.5268e-04 5.5268e-04 5.5268e-04 9.2399e-01 9.2399e-01
 9.2399e-01]"
6,0.12,[0.5538],[8.2638],[4.7073 0.2905 0.1794 0.1671 0.4116 0.3314 0.1396],[0.001  0.001  0.001  0.9242 0.9242 0.9242],-2.4800946505190913,-19.425182704488186,False,[1.1462],[6.0487e-07 6.0487e-07 6.0487e-07 1.0111e-03 1.0111e-03 1.0111e-03],[5.5268e-04 5.5268e-04 5.5268e-04 9.2440e-01 9.2440e-01 9.2440e-01],[0.9994 0.9994 0.9994 0.0746 0.0746 0.0746],0.0005058557658919519,1.0,1.0,"[0.0000e+00 5.5268e-04 5.5268e-04 5.5268e-04 9.2440e-01 9.2440e-01
 9.2440e-01]"
7,0.14,[0.7323],[9.4483],[6.2243 0.2948 0.1837 0.1713 0.4062 0.3261 0.1374],[0.001 0.001 0.001 0.924 0.924 0.924],-2.3014837790783638,-21.72666648356655,False,[0.9677],[7.0567e-07 7.0567e-07 7.0567e-07 1.1794e-03 1.1794e-03 1.1794e-03],[5.5268e-04 5.5268e-04 5.5268e-04 9.2399e-01 9.2399e-01 9.2399e-01],[0.9994 0.9994 0.9994 0.0748 0.0748 0.0748],0.000590068980773973,1.0,1.0,"[0.0000e+00 5.5268e-04 5.5268e-04 5.5268e-04 9.2399e-01 9.2399e-01
 9.2399e-01]"
8,0.16,[0.9333],[10.5402],[7.9334 0.2993 0.1882 0.1759 0.3991 0.319  0.1347],[0.001  0.001  0.001  0.9243 0.9243 0.9243],-2.100755225728167,-23.82742170929472,False,[0.7667],[8.0648e-07 8.0648e-07 8.0648e-07 1.3480e-03 1.3480e-03 1.3480e-03],[5.5268e-04 5.5268e-04 5.5268e-04 9.2440e-01 9.2440e-01 9.2440e-01],[0.9994 0.9994 0.9994 0.0743 0.0743 0.0743],0.000674385973277211,1.0,1.0,"[0.0000e+00 5.5268e-04 5.5268e-04 5.5268e-04 9.2440e-01 9.2440e-01
 9.2440e-01]"
9,0.18,[1.1554],[11.5426],[9.8209 0.304  0.1929 0.1806 0.3901 0.31   0.131 ],[0.001  0.001  0.001  0.9241 0.9241 0.9241],-1.8784275718730847,-25.705849281167804,False,[0.5446],[9.0729e-07 9.0729e-07 9.0729e-07 1.5162e-03 1.5162e-03 1.5162e-03],[5.5268e-04 5.5268e-04 5.5268e-04 9.2399e-01 9.2399e-01 9.2399e-01],[0.9994 0.9994 0.9994 0.0745 0.0745 0.0745],0.000758551586972741,1.0,1.0,"[0.0000e+00 5.5268e-04 5.5268e-04 5.5268e-04 9.2399e-01 9.2399e-01
 9.2399e-01]"
10,0.2,[1.3947],[12.2408],[11.8548  0.3088  0.1977  0.1854  0.3794  0.2992  0.1262],[0.0054 0.0063 0.001  0.6547 0.9243 0.9243],-1.5236367624811349,-27.22948604364894,False,[0.3053],[1.0081e-06 1.0081e-06 1.0081e-06 1.6843e-03 1.6847e-03 1.6847e-03],[5.3990e-03 6.3535e-03 5.5268e-04 4.6064e-01 9.2440e-01 9.2440e-01],[0.9946 0.9936 0.9994 0.5377 0.0739 0.0739],0.0008427974707444058,1.0,1.0,"[0.0000e+00 5.3990e-03 6.3535e-03 5.5268e-04 4.6064e-01 9.2440e-01
 9.2440e-01]"
11,0.22,[1.6332],[11.3867],[13.8825  0.3135  0.2024  0.1901  0.3679  0.2877  0.1209],[0.7881 0.4521 0.1007 0.4255 0.486  0.4578],6.925473333579166,-20.304012710069774,True,[0.0668],[1.9929e-06 2.1670e-06 1.1089e-06 1.7678e-03 1.8529e-03 1.8529e-03],[0.9275 0.4938 0.1026 0.1866 0.1236 0.0626],[0.0725 0.5062 0.8974 0.8116 0.8745 0.9356],0.0009131410826291028,1.0,1.0,[0.     0.9275 0.4938 0.1026 0.1866 0.1236 0.0626]
12,0.24,[1.8369],[9.0147],[15.614   0.3176  0.2065  0.1942  0.3578  0.2777  0.1161],[0.8834 0.8657 0.8374 0.2967 0.3119 0.285 ],6.5460828425175155,-13.757929867552258,True,[-0.1369],[1.7117e-04 9.2232e-05 1.9825e-05 1.8014e-03 1.8749e-03 1.8638e-03],[0.9242 0.9999 1.     0.114  0.0814 0.0442],[0.0757 0.     0.     0.8842 0.9167 0.954 ],0.0009705417042142629,1.0,1.0,[0.     0.9242 0.9999 1.     0.114  0.0814 0.0442]
13,0.26,[1.9856],[6.13],[16.8776  0.3205  0.2094  0.1971  0.3506  0.2705  0.1126],[0.9111 0.9056 0.8597 0.2163 0.2178 0.1949],-1.608880975277533,-15.366810842829791,False,[-0.2856],[0.0003 0.0003 0.0002 0.0018 0.0019 0.0019],[0.924  0.924  0.8694 0.0759 0.0562 0.0318],[0.0757 0.0758 0.1304 0.9223 0.9419 0.9663],0.0010664422517986214,1.0,1.0,[0.     0.924  0.924  0.8694 0.0759 0.0562 0.0318]
14,0.28,[2.0764],[3.2403],[17.649   0.3223  0.2112  0.1989  0.3464  0.2662  0.1104],[0.9201 0.9184 0.9546 0.1624 0.1592 0.1403],-1.7387177334824544,-17.105528576312246,False,[-0.3764],[0.0005 0.0004 0.0004 0.0018 0.0019 0.0019],[0.9244 0.9245 0.9996 0.0528 0.04   0.0232],[0.0751 0.0751 0.     0.9454 0.9581 0.9749],0.0011537704699359508,1.0,1.0,[0.     0.9244 0.9245 0.9996 0.0528 0.04   0.0232]
15,0.3,[2.1104],[0.4685],[17.9382  0.323   0.2119  0.1996  0.3448  0.2647  0.1096],[0.9227 0.9222 0.9352 0.1243 0.1197 0.1041],-1.7584618570542516,-18.863990433366496,False,[-0.4104],[0.0007 0.0006 0.0005 0.0018 0.0019 0.0019],[0.924  0.924  0.924  0.0376 0.0289 0.0172],[0.0753 0.0754 0.0755 0.9605 0.9692 0.9809],0.0012435665688425824,1.0,1.0,[0.     0.924  0.924  0.924  0.0376 0.0289 0.0172]
16,0.32,[2.0911],[-2.1063],[17.7742  0.3226  0.2115  0.1992  0.3457  0.2655  0.1101],[0.9239 0.9019 0.8971 0.0964 0.0916 0.0788],-1.7075024983949698,-20.571492931761465,False,[-0.3911],[0.0008 0.0008 0.0007 0.0019 0.0019 0.0019],[0.9244 0.8897 0.8743 0.0273 0.0212 0.0128],[0.0748 0.1096 0.125  0.9708 0.9769 0.9853],0.0013300606339056301,1.0,1.0,[0.     0.9244 0.8897 0.8743 0.0273 0.0212 0.0128]
17,0.34,[2.0234],[-4.371],[17.1988  0.3213  0.2102  0.1979  0.3488  0.2687  0.1117],[0.9157 0.7409 0.6903 0.0757 0.0711 0.0605],-1.4654879794301898,-22.036980911191655,False,[-0.3234],[0.001  0.0009 0.0009 0.0019 0.0019 0.0019],[0.9109 0.6308 0.543  0.0206 0.0157 0.0097],[0.0881 0.3683 0.4562 0.9776 0.9824 0.9884],0.0014132750430732265,1.0,1.0,[0.     0.9109 0.6308 0.543  0.0206 0.0157 0.0097]
18,0.36,[1.9158],[-6.0997],[16.2846  0.3192  0.2081  0.1957  0.354   0.2738  0.1142],[0.537  0.4784 0.4738 0.0732 0.0556 0.0506],3.0611523692788136,-18.97582854191284,False,[-0.2158],[0.0012 0.0011 0.001  0.0019 0.0019 0.0019],[0.2356 0.2325 0.263  0.0665 0.0117 0.022 ],[0.7632 0.7664 0.736  0.9317 0.9863 0.9762],0.0014778216878344119,1.0,1.0,[0.     0.2356 0.2325 0.263  0.0665 0.0117 0.022 ]
19,0.38,[1.787],[-6.4626],[15.1898  0.3166  0.2055  0.1932  0.3603  0.2802  0.1173],[0.3561 0.3295 0.3327 0.7762 0.0443 0.3565],7.047871591250163,-11.927956950662676,True,[-0.087],[0.0012 0.0011 0.001  0.0019 0.0019 0.0019],[0.1361 0.1345 0.1476 0.9137 0.0109 0.3803],[0.8626 0.8644 0.8514 0.0844 0.9872 0.6178],0.0015028505170594224,1.0,1.0,[0.     0.1361 0.1345 0.1476 0.9137 0.0109 0.3803]
20,0.4,[1.6669],[-5.4612],[14.1686  0.3142  0.2031  0.1908  0.3662  0.2861  0.1202],[0.2525 0.2382 0.2449 0.8499 0.0541 0.8523],6.902307439728858,-5.0256495109338175,True,[0.0331],[0.0012 0.0011 0.001  0.002  0.0019 0.002 ],[0.0886 0.0875 0.1017 0.8802 0.0542 0.998 ],[0.9102 0.9114 0.8973 0.1178 0.9439 0.    ],0.0015549873231431248,1.0,1.0,[0.     0.0886 0.0875 0.1017 0.8802 0.0542 0.998 ]
21,0.42,[1.5769],[-3.6295],[13.4036  0.3124  0.2013  0.189   0.3706  0.2905  0.1222],[0.1863 0.1777 0.1851 0.9505 0.2729 0.9017],6.730816265950242,1.7051667550164247,True,[0.1231],[0.0013 0.0011 0.0011 0.0022 0.0019 0.0021],[0.0607 0.06   0.0706 0.9978 0.2856 0.9241],[0.938  0.9388 0.9283 0.     0.7124 0.0738],0.0016219211796863284,1.0,1.0,[0.     0.0607 0.06   0.0706 0.9978 0.2856 0.9241]
22,0.44,[1.5283],[-1.4182],[12.9905  0.3114  0.2003  0.188   0.373   0.2929  0.1233],[0.1409 0.1354 0.1423 0.9337 0.6621 0.9169],6.589588938899716,8.29475569391614,True,[0.1717],[0.0013 0.0011 0.0011 0.0024 0.002  0.0023],[0.0429 0.0425 0.0499 0.9241 0.7443 0.9242],[0.9558 0.9564 0.949  0.0735 0.2537 0.0735],0.0016945784196822605,1.0,1.0,[0.     0.0429 0.0425 0.0499 0.9241 0.7443 0.9242]
23,0.46,[1.5234],[0.6678],[12.9491  0.3113  0.2002  0.1879  0.3732  0.2931  0.1234],[0.1085 0.1048 0.1108 0.8978 0.6733 0.9217],2.603245392336388,10.89800108625253,False,[0.1766],[0.0013 0.0012 0.0011 0.0025 0.0021 0.0025],[0.0312 0.031  0.0358 0.8763 0.6769 0.924 ],[0.9676 0.9679 0.9631 0.1212 0.321  0.0735],0.0017770288274785023,1.0,1.0,[0.     0.0312 0.031  0.0358 0.8763 0.6769 0.924 ]
24,0.48,[1.5552],[2.2432],[13.219   0.312   0.2009  0.1886  0.3717  0.2916  0.1227],[0.0851 0.0823 0.0872 0.6909 0.5906 0.9206],6.770149526000776,17.668150612253307,True,[0.1448],[0.0013 0.0012 0.0011 0.0027 0.0022 0.0026],[0.0248 0.0239 0.0268 0.5437 0.5165 0.9199],[0.974  0.9749 0.9721 0.4536 0.4812 0.0774],0.0018548092212657796,1.0,1.0,[0.     0.0248 0.0239 0.0268 0.5437 0.5165 0.9199]
25,0.5,[1.611],[3.1222],[13.6932  0.3131  0.202   0.1897  0.369   0.2888  0.1215],[0.0731 0.0663 0.0698 0.4948 0.4546 0.7028],7.094436910469394,24.7625875227227,True,[0.089],[0.0013 0.0012 0.0011 0.0028 0.0023 0.0028],[0.0408 0.0223 0.0228 0.3073 0.3097 0.5512],[0.9579 0.9766 0.9761 0.6899 0.688  0.4459],0.0019168360616445385,1.0,1.0,[0.     0.0408 0.0223 0.0228 0.3073 0.3097 0.5512]
26,0.52,[1.6767],[3.3253],[14.2516  0.3144  0.2033  0.191   0.3657  0.2856  0.1199],[0.1375 0.0548 0.0657 0.3557 0.3388 0.4763],7.390697823888011,32.153285346610716,True,[0.0233],[0.0013 0.0012 0.0011 0.0029 0.0024 0.0029],[0.1395 0.0218 0.0542 0.1805 0.1852 0.2582],[0.8592 0.977  0.9447 0.8167 0.8124 0.7389],0.0019545318056372256,1.0,1.0,[0.     0.1395 0.0218 0.0542 0.1805 0.1852 0.2582]
27,0.54,[1.7393],[2.8844],[14.7842  0.3156  0.2045  0.1922  0.3626  0.2825  0.1185],[0.3624 0.0464 0.2233 0.262  0.2538 0.3362],7.41458701481951,39.567872361430226,True,[-0.0393],[0.0013 0.0012 0.0011 0.0029 0.0024 0.003 ],[0.3835 0.0216 0.231  0.1151 0.117  0.1535],[0.6152 0.9773 0.7679 0.882  0.8805 0.8435],0.0019796100245289975,1.0,1.0,[0.     0.3835 0.0216 0.231  0.1151 0.117  0.1535]
28,0.56,[1.788],[2.0109],[15.1976  0.3166  0.2055  0.1932  0.3602  0.2801  0.1173],[0.5215 0.0426 0.2907 0.1983 0.1927 0.2478],7.325107318271239,46.89297967970146,True,[-0.088],[0.0014 0.0012 0.0012 0.0029 0.0024 0.003 ],[0.5512 0.0314 0.2966 0.0804 0.0781 0.1043],[0.4474 0.9674 0.7023 0.9167 0.9195 0.8927],0.002010278199978061,1.0,1.0,[0.     0.5512 0.0314 0.2966 0.0804 0.0781 0.1043]
29,0.58,[1.8166],[0.9464],[15.4413  0.3172  0.2061  0.1938  0.3588  0.2787  0.1166],[0.5096 0.0398 0.3315 0.1537 0.1484 0.1889],7.322787339539347,54.21576701924081,True,[-0.1166],[0.0015 0.0012 0.0012 0.0029 0.0025 0.003 ],[0.4969 0.0313 0.3361 0.0603 0.0542 0.077 ],[0.5016 0.9675 0.6627 0.9367 0.9434 0.92  ],0.002044480262638166,1.0,1.0,[0.     0.4969 0.0313 0.3361 0.0603 0.0542 0.077 ]
30,0.6,[1.8235],[-0.1443],[15.4998  0.3173  0.2062  0.1939  0.3585  0.2784  0.1165],[0.4588 0.0369 0.3121 0.1227 0.1155 0.1482],7.376745571785561,61.59251259102637,True,[-0.1235],[0.0016 0.0012 0.0013 0.0029 0.0025 0.003 ],[0.4012 0.0281 0.2825 0.0512 0.0386 0.0614],[0.5972 0.9707 0.7163 0.9459 0.9589 0.9356],0.002075998387123777,1.0,1.0,[0.     0.4012 0.0281 0.2825 0.0512 0.0386 0.0614]
31,0.62,[1.8092],[-1.1689],[15.378   0.317   0.2059  0.1936  0.3592  0.2791  0.1168],[0.3721 0.0334 0.2735 0.1091 0.0908 0.1208],7.474903782890368,69.06741637391674,True,[-0.1092],[0.0017 0.0012 0.0013 0.0029 0.0025 0.003 ],[0.2611 0.0227 0.2111 0.0759 0.0282 0.057 ],[0.7372 0.9761 0.7876 0.9212 0.9693 0.9399],0.0021017833085077106,1.0,1.0,[0.     0.2611 0.0227 0.2111 0.0759 0.0282 0.057 ]
32,0.64,[1.7768],[-1.9345],[15.1028  0.3164  0.2053  0.193   0.3608  0.2807  0.1176],[0.2872 0.0295 0.2266 0.2585 0.072  0.1306],7.52901062329013,76.59642699720688,True,[-0.0768],[0.0017 0.0012 0.0014 0.003  0.0025 0.003 ],[0.1596 0.0173 0.1434 0.2678 0.0216 0.1309],[0.8387 0.9815 0.8552 0.7292 0.9759 0.8661],0.0021214094468707005,1.0,1.0,[0.     0.1596 0.0173 0.1434 0.2678 0.0216 0.1309]
33,0.66,[1.7353],[-2.0773],[14.7498  0.3156  0.2045  0.1921  0.3628  0.2827  0.1186],[0.2209 0.0255 0.1849 0.5121 0.0581 0.4043],7.368032355047002,83.96445935225388,True,[-0.0353],[0.0017 0.0012 0.0014 0.003  0.0025 0.0031],[0.1044 0.0129 0.1033 0.5529 0.0188 0.4328],[0.8939 0.9859 0.8953 0.4441 0.9787 0.5642],0.0021436041617054397,1.0,1.0,[0.     0.1044 0.0129 0.1033 0.5529 0.0188 0.4328]
34,0.68,[1.6973],[-1.6905],[14.4272  0.3148  0.2037  0.1914  0.3647  0.2846  0.1194],[0.1718 0.0218 0.1554 0.5063 0.0481 0.7044],7.247797037538084,91.21225638979196,True,[0.0027],[0.0018 0.0012 0.0014 0.0031 0.0025 0.0031],[0.0737 0.0098 0.0926 0.5    0.0191 0.7817],[0.9246 0.989  0.906  0.4969 0.9784 0.2152],0.002180500789846987,1.0,1.0,[0.     0.0737 0.0098 0.0926 0.5    0.0191 0.7817]
35,0.7000000000000001,[1.672],[-0.8455],[14.2118  0.3143  0.2032  0.1909  0.366   0.2858  0.12  ],[0.1351 0.0185 0.1324 0.8355 0.0446 0.7008],7.048807970512504,98.26106436030446,True,[0.028],[0.0018 0.0012 0.0014 0.0032 0.0025 0.0033],[0.0536 0.0077 0.0803 0.9438 0.0341 0.6979],[0.9446 0.9911 0.9183 0.053  0.9634 0.2988],0.002225040795675059,1.0,1.0,[0.     0.0536 0.0077 0.0803 0.9438 0.0341 0.6979]
36,0.72,[1.6635],[-0.1714],[14.14    0.3141  0.203   0.1907  0.3664  0.2862  0.1202],[0.1091 0.0156 0.3436 0.542  0.0415 0.6909],7.171600482380709,105.43266484268517,True,[0.0365],[0.0018 0.0012 0.0014 0.0034 0.0025 0.0034],[0.0467 0.0062 0.3621 0.2975 0.0322 0.6829],[0.9515 0.9926 0.6365 0.6992 0.9653 0.3137],0.002279731742575093,1.0,1.0,[0.     0.0467 0.0062 0.3621 0.2975 0.0322 0.6829]
37,0.74,[1.6673],[0.561],[14.1718  0.3142  0.2031  0.1908  0.3662  0.2861  0.1201],[0.0889 0.0132 0.2817 0.8778 0.0527 0.7687],6.963245532843116,112.39591037552829,True,[0.0327],[0.0018 0.0012 0.0015 0.0034 0.0025 0.0035],[0.0371 0.0054 0.1854 0.9966 0.0528 0.7965],[0.9611 0.9934 0.8131 0.     0.9447 0.2   ],0.002322923025360742,1.0,1.0,[0.     0.0371 0.0054 0.1854 0.9966 0.0528 0.7965]
38,0.76,[1.6845],[0.9706],[14.3186  0.3145  0.2035  0.1911  0.3653  0.2852  0.1197],[0.1412 0.0117 0.4643 0.4824 0.0502 0.6337],7.2061773251897865,119.60208770071807,True,[0.0155],[0.0018 0.0012 0.0015 0.0036 0.0025 0.0037],[0.1429 0.0067 0.4918 0.1449 0.0431 0.5245],[0.8553 0.9921 0.5066 0.8515 0.9544 0.4718],0.002385520322075851,1.0,1.0,[0.     0.1429 0.0067 0.4918 0.1449 0.0431 0.5245]
39,0.78,[1.7049],[1.076],[14.4914  0.315   0.2039  0.1915  0.3643  0.2842  0.1193],[0.1325 0.011  0.3526 0.627  0.0469 0.5461],7.233439877076894,126.83552757779496,True,[-0.0049],[0.0018 0.0012 0.0016 0.0036 0.0025 0.0038],[0.1122 0.0087 0.2078 0.6633 0.0369 0.4623],[0.886  0.9901 0.7906 0.3331 0.9606 0.5339],0.002426234007071489,1.0,1.0,[0.     0.1122 0.0087 0.2078 0.6633 0.0369 0.4623]
40,0.8,[1.7265],[1.0257],[14.675   0.3154  0.2043  0.192   0.3633  0.2831  0.1188],[0.1857 0.0104 0.3137 0.4448 0.0425 0.4392],7.369373594220674,134.20490117201564,True,[-0.0265],[0.0018 0.0012 0.0017 0.0038 0.0025 0.0039],[0.1882 0.0083 0.2556 0.2543 0.0293 0.3197],[0.81   0.9905 0.7428 0.7419 0.9681 0.6764],0.002471040466899504,1.0,1.0,[0.     0.1882 0.0083 0.2556 0.2543 0.0293 0.3197]
41,0.8200000000000001,[1.7438],[0.7086],[14.8224  0.3157  0.2046  0.1923  0.3624  0.2823  0.1183],[0.179  0.0098 0.2785 0.3382 0.0377 0.351 ],7.4640635378793325,141.66896470989496,True,[-0.0438],[0.0019 0.0012 0.0017 0.0038 0.0025 0.0039],[0.1652 0.0078 0.2219 0.1956 0.0232 0.2339],[0.8329 0.991  0.7764 0.8006 0.9743 0.7622],0.002502429301430491,1.0,1.0,[0.     0.1652 0.0078 0.2219 0.1956 0.0232 0.2339]
42,0.84,[1.7531],[0.2544],[14.9017  0.3159  0.2048  0.1925  0.362   0.2818  0.1181],[0.1661 0.0091 0.2452 0.2723 0.0331 0.2838],7.535539192943302,149.20450390283827,True,[-0.0531],[0.0019 0.0012 0.0017 0.0038 0.0025 0.004 ],[0.1389 0.007  0.1878 0.1683 0.0187 0.1803],[0.8592 0.9918 0.8104 0.8279 0.9787 0.8158],0.002527492999617428,1.0,1.0,[0.     0.1389 0.007  0.1878 0.1683 0.0187 0.1803]
43,0.86,[1.7526],[-0.26],[14.8973  0.3159  0.2048  0.1925  0.362   0.2819  0.1181],[0.1486 0.0084 0.2131 0.2335 0.0289 0.236 ],7.595164817777824,156.7996687206161,True,[-0.0526],[0.0019 0.0012 0.0018 0.0039 0.0025 0.004 ],[0.11   0.0059 0.1536 0.1652 0.0159 0.1531],[0.8881 0.9929 0.8446 0.8309 0.9816 0.8429],0.002548089210324249,1.0,1.0,[0.     0.11   0.0059 0.1536 0.1652 0.0159 0.1531]
44,0.88,[1.7421],[-0.7257],[14.808   0.3157  0.2046  0.1923  0.3625  0.2824  0.1184],[0.1286 0.0076 0.1819 0.2833 0.0255 0.207 ],7.610816908533961,164.41048562915006,True,[-0.0421],[0.0019 0.0012 0.0018 0.0039 0.0025 0.004 ],[0.0825 0.0048 0.1197 0.2877 0.0149 0.1523],[0.9156 0.994  0.8785 0.7084 0.9826 0.8437],0.002565904618113801,1.0,1.0,[0.     0.0825 0.0048 0.1197 0.2877 0.0149 0.1523]
45,0.9,[1.7243],[-0.9882],[14.6564  0.3153  0.2042  0.1919  0.3634  0.2833  0.1188],[0.1089 0.0067 0.1544 0.3613 0.0239 0.2912],7.557645710453153,171.96813133960322,True,[-0.0243],[0.002  0.0012 0.0018 0.0039 0.0025 0.004 ],[0.0612 0.0038 0.0955 0.3707 0.0187 0.2984],[0.9369 0.995  0.9026 0.6254 0.9787 0.6976],0.0025857868117490773,1.0,1.0,[0.     0.0612 0.0038 0.0955 0.3707 0.0187 0.2984]
46,0.92,[1.7045],[-0.9412],[14.488   0.3149  0.2038  0.1915  0.3644  0.2842  0.1193],[0.0912 0.0059 0.1319 0.4559 0.0271 0.4363],7.452497764684102,179.42062910428731,True,[-0.0045],[0.002  0.0012 0.0018 0.004  0.0025 0.0041],[0.046  0.003  0.0807 0.4715 0.0272 0.4572],[0.952  0.9958 0.9174 0.5245 0.9703 0.5387],0.0026113363205641986,1.0,1.0,[0.     0.046  0.003  0.0807 0.4715 0.0272 0.4572]
47,0.9400000000000001,[1.688],[-0.7174],[14.3478  0.3146  0.2035  0.1912  0.3652  0.285   0.1197],[0.0761 0.0051 0.1157 0.4536 0.0329 0.4813],7.42422851471919,186.84485761900652,True,[0.012],[0.002  0.0012 0.0019 0.0041 0.0025 0.0042],[0.036  0.0024 0.077  0.4508 0.033  0.4899],[0.9621 0.9964 0.9211 0.5451 0.9645 0.506 ],0.002643910214157252,1.0,1.0,[0.     0.036  0.0024 0.077  0.4508 0.033  0.4899]
