step,time,exo_action,exo_torque,jpos,jvel,mlen,act,reward,cumulative_reward,solved,pose_err,MA,MR,MF,avg_fatigue,force_scale,activation_slowdown,ctrl
0,0.0,[1.],1.0,[0.006],[0.5654],[0.0425 0.2303 0.1381 0.1279 0.3497 0.2833 0.1221],[0.1144 0.0309 0.0358 0.1971 0.0855 0.186 ],-1.9522708710725292,-1.9522708710725292,False,[1.694],[0.1369 0.0353 0.041  0.2465 0.1006 0.2313],[1.5702e-01 6.4371e-02 4.7972e-02 0.0000e+00 6.9389e-18 0.0000e+00],[0.7061 0.9003 0.911  0.7535 0.8994 0.7687],0.8231639398630054,0.8290748117732433,2.013660406482563,[1.     0.1369 0.0353 0.041  0.2465 0.1006 0.2313]
1,0.02,[1.],1.0,[0.024],[1.1694],[0.1691 0.2306 0.1385 0.1282 0.3495 0.2831 0.1218],[0.1105 0.0302 0.035  0.2327 0.0978 0.2191],-1.9719201541534086,-3.9241910252259378,False,[1.676],[0.0888 0.0257 0.0297 0.2464 0.1006 0.2313],[2.0531e-01 7.4227e-02 5.9596e-02 1.4167e-06 1.6908e-06 1.4451e-06],[0.7059 0.9001 0.9107 0.7536 0.8994 0.7687],0.8230689286600529,0.8290748117732433,2.013660406482563,[1.     0.0888 0.0257 0.0297 0.2464 0.1006 0.2313]
2,0.04,[1.],1.0,[0.0538],[1.7525],[0.3795 0.2311 0.139  0.1288 0.3493 0.2828 0.1215],[0.1029 0.0288 0.0333 0.2424 0.1001 0.2278],-1.9502910699149014,-5.87448209514084,False,[1.6462],[0.0608 0.0189 0.0217 0.2464 0.1006 0.2313],[2.3344e-01 8.1245e-02 6.7777e-02 3.6952e-07 1.1804e-06 4.4245e-07],[0.7057 0.8998 0.9105 0.7536 0.8994 0.7687],0.8229718453360201,0.8290748117732433,2.013660406482563,[1.     0.0608 0.0189 0.0217 0.2464 0.1006 0.2313]
3,0.06,[1.],1.0,[0.095],[2.2966],[0.6692 0.2318 0.1397 0.1295 0.3489 0.2824 0.121 ],[0.0939 0.0269 0.0311 0.2452 0.1005 0.2302],-1.9097862126401803,-7.78426830778102,False,[1.605],[0.043  0.0141 0.0161 0.2463 0.1006 0.2312],[2.5146e-01 8.6347e-02 7.3673e-02 1.1437e-06 1.3346e-06 1.1383e-06],[0.7055 0.8996 0.9102 0.7537 0.8994 0.7688],0.822873494557085,0.8290748117732433,2.013660406482563,[1.     0.043  0.0141 0.0161 0.2463 0.1006 0.2312]
4,0.08,[1.],1.0,[0.1464],[2.7935],[1.032  0.2328 0.1407 0.1305 0.3483 0.2819 0.1204],[0.0847 0.0249 0.0287 0.2459 0.1006 0.2309],-1.8569384869235566,-9.641206794704576,False,[1.5536],[0.031  0.0105 0.012  0.2463 0.1006 0.2312],[2.6364e-01 9.0119e-02 7.8001e-02 5.7175e-07 1.2881e-06 6.5576e-07],[0.7053 0.8993 0.91   0.7537 0.8994 0.7688],0.8227743119158578,0.8290748117732433,2.013660406482563,[1.     0.031  0.0105 0.012  0.2463 0.1006 0.2312]
5,0.1,[1.],1.0,[0.2073],[3.2382],[1.4608 0.234  0.1419 0.1316 0.3475 0.2811 0.1196],[0.0758 0.0227 0.0262 0.2461 0.1006 0.2311],-1.794371139537779,-11.435577934242355,False,[1.4927],[0.0227 0.008  0.009  0.2462 0.1006 0.2311],[2.7216e-01 9.2946e-02 8.1226e-02 9.9457e-07 1.3022e-06 9.9062e-07],[0.7052 0.8991 0.9097 0.7538 0.8994 0.7689],0.8226745635611166,0.8290748117732433,2.013660406482563,[1.     0.0227 0.008  0.009  0.2462 0.1006 0.2311]
6,0.12,[1.],1.0,[0.2764],[3.627],[1.948  0.2353 0.1432 0.133  0.3465 0.2801 0.1188],[0.0674 0.0207 0.0238 0.2462 0.1006 0.2311],-1.7236404793963929,-13.159218413638747,False,[1.4236],[0.0168 0.0061 0.0069 0.2462 0.1005 0.2311],[2.7827e-01 9.5096e-02 8.3663e-02 6.8239e-07 1.2981e-06 7.5859e-07],[0.705  0.8988 0.9095 0.7538 0.8995 0.7689],0.8225744231152102,0.8290748117732433,2.013660406482563,[1.     0.0168 0.0061 0.0069 0.2462 0.1005 0.2311]
7,0.14,[1.],1.0,[0.3527],[3.957],[2.4855 0.2368 0.1447 0.1345 0.3453 0.2788 0.118 ],[0.0598 0.0187 0.0214 0.2462 0.1006 0.2311],-1.6460288547564805,-14.805247268395227,False,[1.3473],[0.0125 0.0047 0.0053 0.2461 0.1005 0.231 ],[2.8273e-01 9.6751e-02 8.5529e-02 9.1317e-07 1.2994e-06 9.1964e-07],[0.7048 0.8986 0.9092 0.7539 0.8995 0.769 ],0.8224740088011093,0.8290748117732433,2.013660406482563,[1.     0.0125 0.0047 0.0053 0.2461 0.1005 0.231 ]
8,0.16,[1.],1.0,[0.4349],[4.2261],[3.0648 0.2385 0.1464 0.1362 0.3437 0.2773 0.117 ],[0.053  0.0168 0.0193 0.2462 0.1006 0.2311],-1.56272997768518,-16.367977246080407,False,[1.2651],[0.0094 0.0036 0.0041 0.2461 0.1005 0.231 ],[2.8603e-01 9.8045e-02 8.6978e-02 7.4292e-07 1.2991e-06 8.0818e-07],[0.7046 0.8983 0.909  0.7539 0.8995 0.769 ],0.8223734032557378,0.8290748117732433,2.013660406482563,[1.     0.0094 0.0036 0.0041 0.2461 0.1005 0.231 ]
9,0.18,[1.],1.0,[0.5218],[4.4338],[3.6772 0.2402 0.1481 0.1379 0.3419 0.2755 0.1161],[0.0468 0.0151 0.0173 0.2461 0.1005 0.231 ],-1.4749333733603445,-17.84291061944075,False,[1.1782],[0.0071 0.0028 0.0032 0.2461 0.1005 0.231 ],[2.8850e-01 9.9073e-02 8.8121e-02 8.6882e-07 1.2993e-06 8.8562e-07],[0.7044 0.8981 0.9087 0.7539 0.8995 0.769 ],0.8222726654293093,0.8290748117732433,2.013660406482563,[1.     0.0071 0.0028 0.0032 0.2461 0.1005 0.231 ]
10,0.2,[1.],1.0,[0.6122],[4.5806],[4.3142 0.242  0.1499 0.1397 0.3398 0.2734 0.1151],[0.0414 0.0135 0.0155 0.2461 0.1005 0.231 ],-1.3838280264037461,-19.2267386458445,False,[1.0878],[0.0054 0.0023 0.0025 0.246  0.1005 0.2309],[2.9038e-01 9.9903e-02 8.9037e-02 7.7606e-07 1.2993e-06 8.3214e-07],[0.7042 0.8978 0.9085 0.754  0.8995 0.7691],0.8221718378825793,0.8290748117732433,2.013660406482563,[1.     0.0054 0.0023 0.0025 0.246  0.1005 0.2309]
11,0.22,[1.],1.0,[0.7049],[4.6689],[4.9673 0.2438 0.1517 0.1415 0.3375 0.2711 0.1142],[0.0365 0.0121 0.0138 0.2461 0.1005 0.231 ],-1.2905755615160583,-20.517314207360556,False,[0.9951],[0.0042 0.0018 0.002  0.246  0.1005 0.2309],[2.9182e-01 1.0059e-01 8.9786e-02 8.4472e-07 1.2994e-06 8.6937e-07],[0.704  0.8976 0.9082 0.754  0.8995 0.7691],0.8220709516831747,0.8290748117732433,2.013660406482563,[1.     0.0042 0.0018 0.002  0.246  0.1005 0.2309]
