set,condition,step,time,jpos,jvel,exo_torque,exo_action_mag,mlen,act,ctrl,reward,cumulative_reward,solved,pose_err,MA,MR,MF,avg_fatigue,force_scale,activation_slowdown
0,PD+Exo,0,0.0,0.4973698262393723,-0.20828516708961878,0.0,0.0,[3.7383 0.2557 0.1575 0.1466 0.3653 0.2944 0.1241],[0.0083 0.0513 0.001  0.0881 0.0732 0.0342],[0.     0.0109 0.0698 0.0013 0.1231 0.1011 0.0459],-0.7169658360684301,-0.7169658360684301,False,[0.6084],[0.0109 0.0698 0.0013 0.1231 0.1011 0.0459],[ 1.5851e-01  4.7012e-02  1.7224e-01 -1.3878e-17  6.9389e-18  0.0000e+00],[0.8306 0.8832 0.8264 0.8769 0.8989 0.9541],0.8783290942866538,0.8842548122881853,2.9594826055630277
0,PD+Exo,1,0.02,0.5018856800371608,0.5813476017264823,1.0,1.0,[3.7723 0.2558 0.1576 0.1467 0.3651 0.2943 0.1241],[0.0083 0.0511 0.0011 0.1114 0.0922 0.0427],[1.     0.0082 0.0488 0.0011 0.1231 0.1011 0.0459],-0.7367093236405126,-1.4536751597089426,False,[0.6038],[0.0082 0.0488 0.0011 0.1231 0.1011 0.0459],[1.6142e-01 6.8194e-02 1.7267e-01 1.6485e-06 1.6898e-06 1.7936e-06],[0.8303 0.883  0.8262 0.8769 0.8989 0.9541],0.878219557822073,0.8842548122881853,2.9594826055630277
0,PD+Exo,2,0.04,0.5220125640853244,1.3477283707490908,1.0,1.0,[3.9235 0.2562 0.158  0.1471 0.3647 0.2938 0.1238],[0.0081 0.0496 0.0011 0.119  0.0982 0.045 ],"[1.0000e+00 6.2723e-03 3.4992e-02 9.7873e-04 1.2310e-01 1.0111e-01
 4.5935e-02]",-0.7240639055705508,-2.1777390652794932,False,[0.5837],[0.0063 0.035  0.001  0.1231 0.1011 0.0459],[1.6363e-01 8.2284e-02 1.7304e-01 1.0397e-06 1.1772e-06 1.5464e-06],[0.8301 0.8827 0.826  0.8769 0.8989 0.9541],0.8781093287993357,0.8842548122881853,2.9594826055630277
0,PD+Exo,3,0.06,0.5569318107702228,2.0631281886014414,1.0,1.0,[4.186  0.257  0.1587 0.1478 0.3639 0.293  0.1234],[0.0079 0.0474 0.0011 0.1217 0.1001 0.0457],"[1.0000e+00 4.8143e-03 2.5472e-02 8.7175e-04 1.2308e-01 1.0109e-01
 4.5928e-02]",-0.6912392480561267,-2.86897831333562,False,[0.5488],[0.0048 0.0255 0.0009 0.1231 0.1011 0.0459],[1.6532e-01 9.2047e-02 1.7338e-01 1.2646e-06 1.3328e-06 1.5805e-06],[0.8299 0.8825 0.8257 0.8769 0.8989 0.9541],0.8779986462805014,0.8842548122881853,2.9594826055630277
0,PD+Exo,4,0.08,0.6054935541795309,2.7169801777047513,1.0,1.0,[4.551  0.258  0.1598 0.1489 0.3626 0.2918 0.1229],[0.0075 0.0447 0.0011 0.1226 0.1008 0.0459],"[1.0000e+00 3.7327e-03 1.8762e-02 7.9164e-04 1.2305e-01 1.0108e-01
 4.5922e-02]",-0.6429620307543532,-3.511940344089973,False,[0.5002],[0.0037 0.0188 0.0008 0.1231 0.1011 0.0459],[1.6663e-01 9.9002e-02 1.7370e-01 1.1817e-06 1.2857e-06 1.5759e-06],[0.8296 0.8822 0.8255 0.8769 0.8989 0.9541],0.8778876586954363,0.8842548122881853,2.9594826055630277
0,PD+Exo,5,0.1,0.6664022315842313,3.3038000429780414,1.0,1.0,[5.0088 0.2593 0.161  0.1501 0.361  0.2902 0.1222],[0.0071 0.0419 0.0011 0.1229 0.101  0.0459],"[1.0000e+00 2.9281e-03 1.3950e-02 7.3164e-04 1.2303e-01 1.0106e-01
 4.5915e-02]",-0.5817371111754219,-4.093677455265395,False,[0.4393],[0.0029 0.0139 0.0007 0.123  0.1011 0.0459],[1.6767e-01 1.0406e-01 1.7399e-01 1.2124e-06 1.3001e-06 1.5766e-06],[0.8294 0.882  0.8253 0.877  0.8989 0.9541],0.8777764638121912,0.8842548122881853,2.9594826055630277
0,PD+Exo,6,0.12,0.7382726018562944,3.8196498552018134,1.0,1.0,[5.549  0.2608 0.1625 0.1516 0.359  0.2882 0.1214],[0.0067 0.0391 0.0011 0.123  0.101  0.0459],"[1.0000e+00 2.3285e-03 1.0458e-02 6.8669e-04 1.2301e-01 1.0104e-01
 4.5909e-02]",-0.509374531604568,-4.603051986869962,False,[0.3675],[0.0023 0.0105 0.0007 0.123  0.101  0.0459],[1.6850e-01 1.0780e-01 1.7427e-01 1.2012e-06 1.2958e-06 1.5765e-06],[0.8292 0.8817 0.825  0.877  0.899  0.9541],0.8776651284396076,0.8842548122881853,2.9594826055630277
0,PD+Exo,7,0.14,0.8196480881482643,4.26144633232794,1.0,1.0,[6.1606 0.2624 0.1642 0.1533 0.3566 0.2857 0.1205],[0.0063 0.0362 0.0011 0.123  0.101  0.0459],"[1.0000e+00 1.8811e-03 7.9020e-03 6.5302e-04 1.2299e-01 1.0103e-01
 4.5902e-02]",-0.4274834928034188,-5.030535479673381,False,[0.2861],[0.0019 0.0079 0.0007 0.123  0.101  0.0459],[1.6919e-01 1.1060e-01 1.7453e-01 1.2054e-06 1.2972e-06 1.5766e-06],[0.8289 0.8815 0.8248 0.877  0.899  0.9541],0.8775536994329295,0.8842548122881853,2.9594826055630277
0,PD+Exo,8,0.16,0.909047062258362,4.629316832010363,1.0,1.0,[6.8325 0.2642 0.166  0.1551 0.3537 0.2829 0.1194],[0.0059 0.0335 0.0011 0.123  0.101  0.0459],"[1.0000e+00 1.5468e-03 6.0197e-03 6.2779e-04 1.2297e-01 1.0101e-01
 4.5896e-02]",3.662393425845464,-1.3681420538279174,False,[0.1967],[0.0015 0.006  0.0006 0.123  0.101  0.0459],[1.6975e-01 1.1273e-01 1.7479e-01 1.2040e-06 1.2969e-06 1.5766e-06],[0.8287 0.8813 0.8246 0.877  0.899  0.9541],0.8774422102425791,0.8842548122881853,2.9594826055630277
0,PD+Exo,9,0.18,1.0049779117447593,4.92220243047792,1.0,1.0,[7.5536 0.2661 0.1678 0.1569 0.3505 0.2796 0.1181],[0.0056 0.031  0.0026 0.123  0.101  0.0459],[1.     0.0018 0.0046 0.0031 0.123  0.101  0.0459],7.758732374042237,6.39059032021432,True,[0.1008],[0.0018 0.0046 0.0031 0.123  0.101  0.0459],[1.6951e-01 1.1435e-01 1.7230e-01 1.2046e-06 1.2971e-06 1.5766e-06],[0.8287 0.881  0.8246 0.877  0.899  0.9541],0.8774078713271454,0.8842548122881853,2.9594826055630277
