step,exo_action,exo_torque
0,1.0,1.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.0,0.0
6,0.0,0.0
7,0.0,0.0
8,0.0,0.0
9,0.0,0.0
10,0.280049204826355,0.280049204826355
11,0.7639973163604736,0.7639973163604736
12,1.0,1.0
13,1.0,1.0
14,1.0,1.0
15,1.0,1.0
16,1.0,1.0
17,1.0,1.0
18,1.0,1.0
19,1.0,1.0
20,1.0,1.0
21,1.0,1.0
22,1.0,1.0
23,1.0,1.0
24,1.0,1.0
25,1.0,1.0
26,1.0,1.0
27,1.0,1.0
28,1.0,1.0
29,1.0,1.0
30,1.0,1.0
31,1.0,1.0
32,1.0,1.0
33,1.0,1.0
34,1.0,1.0
35,1.0,1.0
36,1.0,1.0
37,1.0,1.0
38,1.0,1.0
39,1.0,1.0
40,1.0,1.0
41,1.0,1.0
42,1.0,1.0
43,1.0,1.0
44,1.0,1.0
45,0.9844958782196045,0.9844958782196045
46,0.8344376087188721,0.8344376087188721
47,0.698407769203186,0.698407769203186
48,0.5831674337387085,0.5831674337387085
49,0.4939454197883606,0.4939454197883606
50,0.43394315242767334,0.43394315242767334
51,0.4041450619697571,0.4041450619697571
52,0.4034411907196045,0.4034411907196045
53,0.42893797159194946,0.42893797159194946
54,0.476417601108551,0.476417601108551
55,0.5408326983451843,0.5408326983451843
56,0.6168075203895569,0.6168075203895569
57,0.699066162109375,0.699066162109375
58,0.7828071713447571,0.7828071713447571
59,0.8639287948608398,0.8639287948608398
60,0.9391577839851379,0.9391577839851379
61,1.0,1.0
62,1.0,1.0
63,1.0,1.0
64,1.0,1.0
65,1.0,1.0
66,1.0,1.0
67,1.0,1.0
68,1.0,1.0
69,1.0,1.0
70,1.0,1.0
71,1.0,1.0
72,1.0,1.0
73,1.0,1.0
74,1.0,1.0
75,1.0,1.0
76,1.0,1.0
77,1.0,1.0
78,1.0,1.0
79,1.0,1.0
80,1.0,1.0
81,1.0,1.0
82,1.0,1.0
83,1.0,1.0
84,1.0,1.0
85,1.0,1.0
86,0.991515040397644,0.991515040397644
87,0.9553541541099548,0.9553541541099548
88,0.9223783016204834,0.9223783016204834
89,0.8937681913375854,0.8937681913375854
90,0.8704273104667664,0.8704273104667664
91,0.8529403209686279,0.8529403209686279
92,0.8415700197219849,0.8415700197219849
93,0.8362579941749573,0.8362579941749573
94,0.8366638422012329,0.8366638422012329
95,0.8422009944915771,0.8422009944915771
96,0.8521013855934143,0.8521013855934143
97,0.8654687404632568,0.8654687404632568
98,0.8813462257385254,0.8813462257385254
99,0.898766040802002,0.898766040802002
