episode,mf_value,avg_fatigue,force_scale,activation_slowdown,impairment,steps,total_reward,mean_exo_torque,mean_ctrl_scalar,mean_ctrl_vec,mean_imu,log_csv,video
1,0.0,0.0,0.8,2.0,0.0,100,-178.7575755619781,0.9475676947832108,0.5344493985176086,"[0.9475677609443665, 0.006242935545742512, 0.006242935545742512, 0.006242935545742512, 0.9249497056007385, 0.9249497056007385, 0.9249497056007385]",0.3403739454736933,results/assisted_only\episode_01_assisted_log.csv,videos/assisted_only\episode_01_assisted.mp4
2,0.03275862068965517,0.032758619636297226,0.8,2.0,0.055689653381705284,100,-183.40987905369187,0.9763148766756058,0.5384177565574646,"[0.976314902305603, 0.006238177884370089, 0.006238177884370089, 0.006238177884370089, 0.924631655216217, 0.924631655216217, 0.924631655216217]",0.3568548115761951,results/assisted_only\episode_02_assisted_log.csv,videos/assisted_only\episode_02_assisted.mp4
3,0.06551724137931034,0.06551723927259445,0.8,2.0,0.11137930676341057,100,-188.6938997344861,0.9898586428165436,0.5397602915763855,"[0.9898586273193359, 0.00622406555339694, 0.00622406555339694, 0.00622406555339694, 0.9232637882232666, 0.9232637882232666, 0.9232637882232666]",0.3576307237800211,results/assisted_only\episode_03_assisted_log.csv,videos/assisted_only\episode_03_assisted.mp4
4,0.0982758620689655,0.09827586263418198,0.8,2.0,0.16706896647810934,100,668.8522427192804,0.5550002329051494,0.17569155991077423,"[0.5550002455711365, 0.0265414547175169, 0.006443066988140345, 0.07785288989543915, 0.23317423462867737, 0.1338113248348236, 0.19701752066612244]",0.4872282270263531,results/assisted_only\episode_04_assisted_log.csv,videos/assisted_only\episode_04_assisted.mp4
5,0.13103448275862067,0.1310344785451889,0.8,2.0,0.22275861352682114,100,-103.78448501836782,0.7917907059192657,0.481790155172348,"[0.791790783405304, 0.0062849754467606544, 0.006207698956131935, 0.006193075329065323, 0.8546650409698486, 0.8462890386581421, 0.861100435256958]",0.5133405073959147,results/assisted_only\episode_05_assisted_log.csv,videos/assisted_only\episode_05_assisted.mp4
6,0.16379310344827586,0.16379310190677643,0.8,2.0,0.27844827324151994,100,603.0611800850778,0.7438543060421944,0.24801397323608398,"[0.743854284286499, 0.014971042051911354, 0.0062787230126559734, 0.051988180726766586, 0.3764427900314331, 0.19678784906864166, 0.3457750678062439]",0.5076944916826324,results/assisted_only\episode_06_assisted_log.csv,videos/assisted_only\episode_06_assisted.mp4
7,0.196551724137931,0.19655172526836395,0.8,2.0,0.3341379329562187,100,-171.58004236674134,0.9930510145425796,0.48568853735923767,"[0.9930509924888611, 0.0060727582313120365, 0.0060727582313120365, 0.0060727582313120365, 0.7961834669113159, 0.7961834669113159, 0.7961834669113159]",0.4994583239452913,results/assisted_only\episode_07_assisted_log.csv,videos/assisted_only\episode_07_assisted.mp4
8,0.22931034482758617,0.22931034862995148,0.8,2.0,0.3898275926709175,100,-64.14089875614287,0.8734274142980576,0.4528903067111969,"[0.8734272718429565, 0.006129776127636433, 0.0060256170108914375, 0.0060663544572889805, 0.7616695165634155, 0.7531886100769043, 0.7637247443199158]",0.6068348901462741,results/assisted_only\episode_08_assisted_log.csv,videos/assisted_only\episode_08_assisted.mp4
9,0.26206896551724135,0.2620689570903778,0.8,2.0,0.4455172270536423,100,620.6320271361689,0.7080931644141674,0.2132790982723236,"[0.7080931067466736, 0.01753510907292366, 0.006090797949582338, 0.057499244809150696, 0.29946938157081604, 0.15709738433361053, 0.24716868996620178]",0.5766455278309877,results/assisted_only\episode_09_assisted_log.csv,videos/assisted_only\episode_09_assisted.mp4
10,0.29482758620689653,0.29482758045196533,0.8,2.0,0.501206886768341,100,594.4873735004,0.7662069411575794,0.23533906042575836,"[0.7662070393562317, 0.014942002482712269, 0.005972188897430897, 0.05156707763671875, 0.3414255380630493, 0.17315362393856049, 0.29410597681999207]",0.5912529629126948,results/assisted_only\episode_10_assisted_log.csv,videos/assisted_only\episode_10_assisted.mp4
