episode,step,time,exo_action,exo_torque,jpos,jvel,MA,MR,MF,avg_fatigue,force_scale,activation_slowdown,reward,cumulative_reward,pose_err,ctrl,imu_avg_abs_qvel
21,0,0.0,[1.],1.0,[0.7947],[0.3475],[0.1808 0.1808 0.1808 0.808  0.808  0.808 ],[0.6272 0.6272 0.6272 0.     0.     0.    ],[0.1919 0.1919 0.1919 0.192  0.192  0.192 ],0.19196564862983734,0.8,2.0,-2.02469015299098,-2.02469015299098,[1.2053],[1.     0.1808 0.1808 0.1808 0.808  0.808  0.808 ],0.34752678871154785
21,1,0.02,[1.],1.0,[0.8062],[0.7649],[0.1113 0.1113 0.1113 0.8079 0.8079 0.8079],[6.9681e-01 6.9681e-01 6.9681e-01 3.6095e-07 3.6095e-07 3.6095e-07],[0.1919 0.1919 0.1919 0.1921 0.1921 0.1921],0.1920285863855058,0.8,2.0,-2.19989027100667,-4.22458042399765,[1.1938],[1.     0.1113 0.1113 0.1113 0.8079 0.8079 0.8079],0.7649126648902893
21,2,0.04,[1.],1.0,[0.8263],[1.2024],[0.0743 0.0743 0.0743 0.8077 0.8077 0.8077],[ 7.3378e-01  7.3378e-01  7.3378e-01 -1.0588e-22 -1.0588e-22 -1.0588e-22],[0.1919 0.1919 0.1919 0.1923 0.1923 0.1923],0.1920851706051195,0.8,2.0,-2.26248821015625,-6.4870686341539,[1.1737],[1.     0.0743 0.0743 0.0743 0.8077 0.8077 0.8077],1.2024155855178833
21,3,0.06,[1.],1.0,[0.8551],[1.6326],[0.0518 0.0518 0.0518 0.8076 0.8076 0.8076],[7.5639e-01 7.5639e-01 7.5639e-01 3.6150e-07 3.6150e-07 3.6150e-07],[0.1918 0.1918 0.1918 0.1924 0.1924 0.1924],0.1921383769947975,0.8,2.0,-2.273827239794856,-8.760895873948755,[1.1449],[1.     0.0518 0.0518 0.0518 0.8076 0.8076 0.8076],1.632591724395752
21,4,0.08,[1.],1.0,[0.8923],[2.0416],[0.037  0.037  0.037  0.8074 0.8074 0.8074],[0.7712 0.7712 0.7712 0.     0.     0.    ],[0.1918 0.1918 0.1918 0.1926 0.1926 0.1926],0.19218951693294348,0.8,2.0,-2.2566079858753323,-11.017503859824087,[1.1077],[1.     0.037  0.037  0.037  0.8074 0.8074 0.8074],2.041635274887085
21,5,0.1,[1.],1.0,[0.9374],[2.4209],[0.0268 0.0268 0.0268 0.8073 0.8073 0.8073],[7.8140e-01 7.8140e-01 7.8140e-01 3.6205e-07 3.6205e-07 3.6205e-07],[0.1918 0.1918 0.1918 0.1927 0.1927 0.1927],0.19223929992362418,0.8,2.0,-2.221406506318396,-13.238910366142484,[1.0626],[1.     0.0268 0.0268 0.0268 0.8073 0.8073 0.8073],2.420896053314209
21,6,0.12,[1.],1.0,[0.9896],[2.7645],[0.0197 0.0197 0.0197 0.8071 0.8071 0.8071],[7.8856e-01 7.8856e-01 7.8856e-01 5.2940e-23 5.2940e-23 5.2940e-23],[0.1917 0.1917 0.1917 0.1929 0.1929 0.1929],0.19228815321926207,0.8,2.0,-2.173823313932619,-15.412733680075103,[1.0104],[1.     0.0197 0.0197 0.0197 0.8071 0.8071 0.8071],2.7645344734191895
21,7,0.14,[1.],1.0,[1.0483],[3.0686],[0.0147 0.0147 0.0147 0.807  0.807  0.807 ],[7.937e-01 7.937e-01 7.937e-01 3.626e-07 3.626e-07 3.626e-07],[0.1917 0.1917 0.1917 0.193  0.193  0.193 ],0.1923363517930208,0.8,2.0,-2.117142073708929,-17.529875753784033,[0.9517],[1.     0.0147 0.0147 0.0147 0.807  0.807  0.807 ],3.068633794784546
21,8,0.16,[1.],1.0,[1.1126],[3.331],[0.011  0.011  0.011  0.8068 0.8068 0.8068],[0.7974 0.7974 0.7974 0.     0.     0.    ],[0.1916 0.1916 0.1916 0.1932 0.1932 0.1932],0.1923840802939892,0.8,2.0,-2.053495759959721,-19.583371513743753,[0.8874],[1.     0.011  0.011  0.011  0.8068 0.8068 0.8068],3.331002950668335
21,9,0.18,[1.],1.0,[1.1818],[3.5513],[0.0083 0.0083 0.0083 0.8067 0.8067 0.8067],[8.0017e-01 8.0017e-01 8.0017e-01 3.6316e-07 3.6316e-07 3.6316e-07],[0.1915 0.1915 0.1915 0.1933 0.1933 0.1933],0.19243146667571212,0.8,2.0,-1.9844112485485355,-21.56778276229229,[0.8182],[1.     0.0083 0.0083 0.0083 0.8067 0.8067 0.8067],3.5512945652008057
21,10,0.2,[1.],1.0,[1.2548],[3.7312],[0.0063 0.0063 0.0063 0.8065 0.8065 0.8065],[8.0221e-01 8.0221e-01 8.0221e-01 1.0588e-22 1.0588e-22 1.0588e-22],[0.1915 0.1915 0.1915 0.1935 0.1935 0.1935],0.19247860131054917,0.8,2.0,-1.9110702498898795,-23.478853012182167,[0.7452],[1.     0.0063 0.0063 0.0063 0.8065 0.8065 0.8065],3.731208562850952
21,11,0.22,[1.],1.0,[1.3311],[3.8723],[0.0048 0.0048 0.0048 0.8064 0.8064 0.8064],[8.0372e-01 8.0372e-01 8.0372e-01 3.6371e-07 3.6371e-07 3.6371e-07],[0.1914 0.1914 0.1914 0.1936 0.1936 0.1936],0.19252554920283418,0.8,2.0,-1.8344383907451582,-25.313291402927327,[0.6689],[1.     0.0048 0.0048 0.0048 0.8064 0.8064 0.8064],3.872267007827759
21,12,0.24,[1.],1.0,[1.4097],[3.9752],[0.0037 0.0037 0.0037 0.8062 0.8062 0.8062],[0.8049 0.8049 0.8049 0.     0.     0.    ],[0.1914 0.1914 0.1914 0.1938 0.1938 0.1938],0.19257235743436754,0.8,2.0,-1.755383788308231,-27.068675191235556,[0.5903],[1.     0.0037 0.0037 0.0037 0.8062 0.8062 0.8062],3.975206136703491
21,13,0.26,[1.],1.0,[1.49],[4.0425],[0.0029 0.0029 0.0029 0.8061 0.8061 0.8061],[8.0573e-01 8.0573e-01 8.0573e-01 3.6426e-07 3.6426e-07 3.6426e-07],[0.1913 0.1913 0.1913 0.1939 0.1939 0.1939],0.1926190605830751,0.8,2.0,-1.674690683329167,-28.743365874564724,[0.51],[1.     0.0029 0.0029 0.0029 0.8061 0.8061 0.8061],4.042530059814453
21,14,0.28,[1.],1.0,[1.5713],[4.0781],[0.0023 0.0023 0.0023 0.806  0.806  0.806 ],[8.0638e-01 8.0638e-01 8.0638e-01 5.2940e-23 5.2940e-23 5.2940e-23],[0.1913 0.1913 0.1913 0.194  0.194  0.194 ],0.19266568399668202,0.8,2.0,-1.5930340414039337,-30.336399915968656,[0.4287],[1.     0.0023 0.0023 0.0023 0.806  0.806  0.806 ],4.078139305114746
21,15,0.3,[0.7731],0.7731202244758606,[1.6513],[3.9309],[0.0019 0.0019 0.0019 0.8058 0.8058 0.8058],[8.0688e-01 8.0688e-01 8.0688e-01 3.6481e-07 3.6481e-07 3.6481e-07],[0.1912 0.1912 0.1912 0.1942 0.1942 0.1942],0.1927122465399643,0.8,2.0,-1.5127266727619866,-31.84912658873064,[0.3487],[0.7731 0.0019 0.0019 0.0019 0.8058 0.8058 0.8058],3.930912494659424
