Episode,MovementRestored%,PositionalError,RMSE_passive_vs_healthy,RMSE_assisted_vs_healthy,MeanTorque,CumulativeAbsTorque,EnergyEfficiency,Latency(ms),LatencyDistribution_ms,Smoothness,Steps,TargetAngle,InitialQpos,MF_value
1,0.0,0.32508513222550234,0.21296474606454383,0.32569076769457606,0.6800934082269668,68.00934082269669,0.0,0.1628013572307548,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0046234130859375, 1.1124610900878906, 0.0, 0.0, 0.0, 1.1105537414550781, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.004861831665039, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4489421844482422, 0.0, 0.3459453582763672, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 8.55398178100586, 0.0, 0.0, 0.5359649658203125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.006456978352010232,100,1.2458066539150272,0.8909876714360324,0.2
2,60.134395097885104,0.35428917636866686,0.8956407147498365,0.3570525886846478,0.9370801901817322,93.70801901817322,64.1720908497948,0.5854500664605035,"[0.0, 0.0, 0.0, 2.0072460174560547, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9999275207519531, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.32067298889160156, 0.0, 0.0, 0.0, 2.0439624786376953, 1.3256072998046875, 0.0, 0.8003711700439453, 0.0, 2.0449161529541016, 1.009225845336914, 0.0, 0.7982254028320312, 0.0, 0.0, 0.0, 0.4863739013671875, 2.263307571411133, 0.0, 0.0, 0.0, 0.0, 1.0066032409667969, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 15.867233276367188, 0.0, 0.0, 0.0, 0.0, 8.165121078491211, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 16.055822372436523, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.7562637329101562, 1.0006427764892578, 0.0, 0.0, 0.0, 0.0, 1.0080337524414062, 0.0]",0.00265235599927359,100,1.0354612541315653,0.5885913295864889,0.2681818181818182
3,20.347486929474474,0.07215461164297707,0.28830342169580614,0.2296409206490243,0.19744134888052942,19.74413488805294,103.05585453524539,0.3627598887742168,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.004384994506836, 2.006053924560547, 0.0, 0.0, 0.0, 0.0, 2.0046234130859375, 0.0, 0.0, 0.0, 0.0, 2.004861831665039, 2.0051002502441406, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0991096496582031, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0485649108886719, 2.0055770874023438, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0073184967041016, 0.0, 0.0, 0.0, 0.0, 9.159326553344727, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.008199691772461, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.686738967895508, 0.0, 0.0, 0.0, 0.0, 3.300905227661133, 0.0, 0.0, 1.5666484832763672, 2.0058155059814453, 0.0, 0.0]",0.021087696282841965,100,0.44624196101372143,0.16454064323086773,0.33636363636363636
4,78.65733321408615,0.15087691518155968,1.2480901402986349,0.26637571983178226,0.6231854028999806,62.318540289998055,126.21818939926361,0.5540823695635555,"[0.8542537689208984, 0.3616809844970703, 0.7522106170654297, 1.512765884399414, 0.0, 1.512765884399414, 0.5578994750976562, 1.050710678100586, 0.0, 0.0, 0.7121562957763672, 0.9281635284423828, 0.0, 1.047372817993164, 1.0745525360107422, 1.032114028930664, 0.6814002990722656, 1.0421276092529297, 0.5478858947753906, 1.0073184967041016, 0.3235340118408203, 0.79345703125, 0.4763603210449219, 0.0, 1.001596450805664, 1.0845661163330078, 1.0306835174560547, 1.033782958984375, 0.919342041015625, 1.270294189453125, 0.9973049163818359, 1.0008811950683594, 0.9987354278564453, 0.0, 0.0, 0.0, 3.0798912048339844, 0.0, 0.6334781646728516, 3.4999847412109375, 0.0, 0.0, 1.0204315185546875, 0.0, 0.7750988006591797, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3216266632080078, 0.0, 3.146648406982422, 0.0, 0.0, 0.8816719055175781, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.6966590881347656, 0.0, 3.5059452056884766, 0.0, 0.0, 0.9434223175048828, 0.0, 3.1816959381103516, 0.0, 0.0, 0.0, 0.0, 2.9282569885253906, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.6234645843505859, 0.0, 0.0, 0.0, 3.2901763916015625, 0.0, 0.0, 0.7197856903076172]",0.0825373550599725,100,1.3313843620188888,0.02677087255260144,0.40454545454545454
5,70.29861179286522,0.17389111970482762,0.9915670757710479,0.29450918650889324,0.8566880102455616,85.66880102455616,82.05859187023614,0.36547400734641333,"[1.001596450805664, 0.0, 1.0008811950683594, 2.0074844360351562, 2.0058155059814453, 0.9999275207519531, 0.0, 0.0, 0.0, 0.0, 0.0, 2.005338668823242, 0.0, 1.8372535705566406, 0.0, 0.0, 0.9975433349609375, 0.0, 2.140045166015625, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0055770874023438, 0.0, 0.0, 0.0, 0.0, 2.003908157348633, 0.0, 0.0, 0.7624626159667969, 0.0, 1.0004043579101562, 0.4413127899169922, 0.0, 0.0, 0.0, 2.0058155059814453, 0.0, 0.0, 0.0, 0.99945068359375, 0.9999275207519531, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0055770874023438, 1.1510848999023438, 0.0, 1.0569095611572266, 0.0, 0.0, 0.0, 0.0, 4.751920700073242, 0.0, 0.0, 1.0025501251220703, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9932518005371094, 0.0, 0.0, 0.0, 1.0058879852294922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.03605405987066465,100,1.498593930108395,0.4347085414259387,0.4727272727272727
6,30.80697822094039,0.09553294738077442,0.33159853183057686,0.22944304434857296,0.7370692104101181,73.70692104101181,41.79658814373599,0.36450588341915247,"[0.0, 0.0, 1.0876655578613281, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9982585906982422, 0.9987354278564453, 1.0859966278076172, 0.0, 1.0004043579101562, 1.0001659393310547, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0079612731933594, 0.0, 1.0085105895996094, 0.0, 1.1661052703857422, 0.9980201721191406, 0.0, 0.0, 0.0, 0.0, 1.1184215545654297, 0.0, 0.9999275207519531, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9980201721191406, 1.1794567108154297, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0067691802978516, 0.0, 0.0, 0.0, 2.00653076171875, 0.0, 0.0, 2.003192901611328, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.3784637451171875, 0.0, 0.0, 0.9968280792236328, 0.0, 0.9999275207519531, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.205465316772461, 0.0, 0.0, 0.0, 0.0, 0.9989738464355469, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0004043579101562, 1.1548995971679688, 0.9984970092773438, 0.6875991821289062, 0.0, 1.0008811950683594, 0.0]",0.03997440865256539,100,1.5831633150381594,0.7180321370199115,0.5409090909090909
7,34.539242131252614,0.04157208321175632,0.07221287150499495,0.04727109296595442,0.3031673091650009,30.31673091650009,113.92798988249223,0.5024250107582169,"[0.0, 0.0, 2.004861831665039, 0.0, 1.0073184967041016, 0.0, 1.1677742004394531, 0.9992122650146484, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0072460174560547, 2.0079612731933594, 0.0, 0.0, 0.0, 0.0, 1.5070438385009766, 0.5197525024414062, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0074844360351562, 0.0, 0.0, 0.0, 2.0093917846679688, 0.0, 0.99945068359375, 1.0094642639160156, 0.0, 0.0, 0.0, 0.0, 2.0062923431396484, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 15.96212387084961, 0.0, 1.0426044464111328, 0.48995018005371094, 1.0082721710205078, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 8.126020431518555, 0.0, 0.0, 1.0089874267578125, 0.8299350738525391, 1.4705657958984375, 0.5483627319335938, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0002080648683083023,100,0.4226581233483631,0.3991466620926179,0.6090909090909091
8,58.510233702959894,0.1206145222386965,0.39987310184684005,0.16590641544097912,0.19770209535956382,19.770209535956383,295.9515102586366,0.48596931226325757,"[0.0, 0.0, 2.0074844360351562, 2.008199691772461, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0830631256103516, 0.0, 0.0, 0.0, 2.004861831665039, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0067691802978516, 0.0, 0.0, 0.0, 2.0024776458740234, 0.0, 0.0, 0.0, 0.0, 2.0072460174560547, 0.0, 0.0, 0.0, 2.0067691802978516, 0.0, 0.0, 2.004861831665039, 0.0, 0.0, 0.0, 0.0, 2.0036697387695312, 0.0, 0.0, 2.0062923431396484, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 15.8233642578125, 0.0, 0.0, 0.0, 0.0, 1.03759765625, 0.0, 1.0013580322265625, 0.0, 0.0, 3.9458274841308594, 0.0, 0.0, 4.16111946105957, 0.0, 0.0]",0.004691973193377158,100,0.4213935935745115,0.401500300259221,0.6772727272727272
9,55.68259113151127,0.05707633629003933,0.34032214509440717,0.15082195651149988,0.5110766310989857,51.10766310989857,108.95155000880216,0.40956940313782353,"[0.9996891021728516, 3.008604049682617, 1.5385150909423828, 0.99945068359375, 0.0, 0.0, 0.9977817535400391, 1.1293888092041016, 0.0, 1.0335445404052734, 0.6008148193359375, 0.0, 0.0, 1.0018348693847656, 0.0, 0.0, 0.0, 0.0, 1.0006427764892578, 1.1949539184570312, 1.0006427764892578, 0.9982585906982422, 0.0, 1.0001659393310547, 0.9975433349609375, 0.9996891021728516, 0.0, 0.9307861328125, 0.0, 1.1670589447021484, 2.103090286254883, 0.0, 2.0041465759277344, 2.0062923431396484, 0.0, 0.0, 0.0, 0.0, 2.008199691772461, 0.0, 0.0, 0.0, 2.006053924560547, 0.0, 0.0, 2.006053924560547, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0093917846679688, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.009868621826172, 0.37479400634765625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.420114517211914, 0.0]",0.04543574941118439,100,1.253476906723863,0.7326272549688003,0.7454545454545454
10,52.132795555551716,0.5182677026125472,1.0873052947536044,0.5204626483750189,1.0,100.0,52.132795555551716,0.4858103665438565,"[0.0, 1.9114017486572266, 0.9989738464355469, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.004384994506836, 1.745462417602539, 0.0, 0.0, 0.0, 1.7440319061279297, 0.0, 0.0, 2.003192901611328, 0.0, 0.0, 0.0, 2.0036697387695312, 0.0, 0.0, 0.0, 1.7457008361816406, 0.0, 0.0, 0.0, 0.0, 0.0, 2.7556419372558594, 0.0, 0.0, 2.1026134490966797, 0.0, 1.0035037994384766, 2.0055770874023438, 1.5857219696044922, 0.0, 0.0, 0.9980201721191406, 0.0, 0.0, 2.0055770874023438, 0.0, 0.0, 2.0058155059814453, 0.0, 0.0, 0.0, 0.0, 0.0, 2.004861831665039, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 15.789031982421875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.6856918334960938, 0.0, 0.9963512420654297, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,100,1.1290783996819644,0.7220146054560697,0.8136363636363635
