Episode,MovementRestored%,PositionalError,MeanTorque,EnergyEfficiency,Latency(ms),Smoothness
1,0.0,0.32508513222550234,0.6800934082269668,0.0,0.1628013572307548,0.006456978352010232
2,60.134395097885104,0.35428917636866686,0.9370801901817322,64.1720908497948,0.5854500664605035,0.00265235599927359
3,20.347486929474474,0.07215461164297707,0.19744134888052942,103.05585453524539,0.3627598887742168,0.021087696282841965
4,78.65733321408615,0.15087691518155968,0.6231854028999806,126.21818939926361,0.5540823695635555,0.0825373550599725
5,70.29861179286522,0.17389111970482762,0.8566880102455616,82.05859187023614,0.36547400734641333,0.03605405987066465
6,30.80697822094039,0.09553294738077442,0.7370692104101181,41.79658814373599,0.36450588341915247,0.03997440865256539
7,34.539242131252614,0.04157208321175632,0.3031673091650009,113.92798988249223,0.5024250107582169,0.0002080648683083023
8,58.510233702959894,0.1206145222386965,0.19770209535956382,295.9515102586366,0.48596931226325757,0.004691973193377158
9,55.68259113151127,0.05707633629003933,0.5110766310989857,108.95155000880216,0.40956940313782353,0.04543574941118439
10,52.132795555551716,0.5182677026125472,1.0,52.132795555551716,0.4858103665438565,0.0
11,66.08011957135443,0.16292610183892065,0.8593133282661438,76.89874856786616,0.3579457600911458,0.03542202794462915
12,88.94487501411774,0.05822059157443027,0.4889344864338636,181.91573202956914,0.3787315253055457,0.035493958607313636
