step,time,jpos,jvel,mlen,act,reward,cumulative_reward,solved,pose_err,force_scale,activation_slowdown,ctrl
0,0.0,[0.0019],[0.2404],[0.0134 0.2289 0.1373 0.1271 0.3477 0.2816 0.1214],[0.0009 0.0009 0.0009 0.5959 0.5959 0.5959],-2.558150566610329,-2.558150566610329,False,[1.6981],0.8242625962404506,2.1102874836746293,"[0.0000e+00 5.5278e-04 5.5278e-04 5.5278e-04 9.2414e-01 9.2414e-01
 9.2414e-01]"
1,0.02,[0.0117],[0.7063],[0.0818 0.229  0.1374 0.1273 0.3476 0.2816 0.1213],[0.001  0.001  0.001  0.7523 0.7523 0.7523],-2.7742209351242884,-5.332371501734617,False,[1.6883],0.8242625962404506,2.1102874836746293,"[0.0000e+00 5.5278e-04 5.5278e-04 5.5278e-04 9.2414e-01 9.2414e-01
 9.2414e-01]"
2,0.04,[0.0316],[1.2346],[0.2211 0.2294 0.1378 0.1276 0.3475 0.2814 0.121 ],[0.001  0.001  0.001  0.8278 0.8278 0.8278],-2.8633288841100124,-8.19570038584463,False,[1.6684],0.8242625962404506,2.1102874836746293,"[0.0000e+00 5.5278e-04 5.5278e-04 5.5278e-04 9.2414e-01 9.2414e-01
 9.2414e-01]"
3,0.06,[0.0622],[1.7736],[0.4357 0.2299 0.1383 0.1282 0.3472 0.2811 0.1207],[0.001  0.001  0.001  0.8686 0.8686 0.8686],-2.8914755388981783,-11.087175924742809,False,[1.6378],0.8242625962404506,2.1102874836746293,"[0.0000e+00 5.5278e-04 5.5278e-04 5.5278e-04 9.2414e-01 9.2414e-01
 9.2414e-01]"
4,0.08,[0.1035],[2.2969],[0.7249 0.2306 0.1391 0.1289 0.3468 0.2807 0.1202],[0.001  0.001  0.001  0.8916 0.8916 0.8916],-2.8834343807309057,-13.970610305473715,False,[1.5965],0.8242625962404506,2.1102874836746293,"[0.0000e+00 5.5278e-04 5.5278e-04 5.5278e-04 9.2414e-01 9.2414e-01
 9.2414e-01]"
5,0.1,[0.1549],[2.7876],[1.085  0.2316 0.14   0.1299 0.3462 0.2801 0.1196],[0.001  0.001  0.001  0.9049 0.9049 0.9049],-2.85127431312001,-16.821884618593725,False,[1.5451],0.8242625962404506,2.1102874836746293,"[0.0000e+00 5.5278e-04 5.5278e-04 5.5278e-04 9.2414e-01 9.2414e-01
 9.2414e-01]"
6,0.12,[0.2156],[3.2331],[1.5105 0.2328 0.1412 0.131  0.3454 0.2793 0.1188],[0.001  0.001  0.001  0.9127 0.9127 0.9127],-2.8018248606854863,-19.62370947927921,False,[1.4844],0.8242625962404506,2.1102874836746293,"[0.0000e+00 5.5278e-04 5.5278e-04 5.5278e-04 9.2414e-01 9.2414e-01
 9.2414e-01]"
7,0.14,[0.2846],[3.6226],[1.9943 0.2341 0.1425 0.1324 0.3444 0.2783 0.118 ],[0.001  0.001  0.001  0.9174 0.9174 0.9174],-2.7394478570779364,-22.363157336357148,False,[1.4154],0.8242625962404506,2.1102874836746293,"[0.0000e+00 5.5278e-04 5.5278e-04 5.5278e-04 9.2414e-01 9.2414e-01
 9.2414e-01]"
8,0.16,[0.3608],[3.946],[2.5276 0.2356 0.1441 0.1339 0.3431 0.2771 0.1172],[0.001  0.001  0.001  0.9201 0.9201 0.9201],-2.6672807356504906,-25.030438072007637,False,[1.3392],0.8242625962404506,2.1102874836746293,"[0.0000e+00 5.5278e-04 5.5278e-04 5.5278e-04 9.2414e-01 9.2414e-01
 9.2414e-01]"
9,0.18,[0.4425],[4.1942],[3.1006 0.2373 0.1457 0.1355 0.3416 0.2755 0.1163],[0.001  0.001  0.001  0.9217 0.9217 0.9217],-2.587855422315275,-27.618293494322913,False,[1.2575],0.8242625962404506,2.1102874836746293,"[0.0000e+00 5.5278e-04 5.5278e-04 5.5278e-04 9.2414e-01 9.2414e-01
 9.2414e-01]"
10,0.2,[0.5284],[4.3595],[3.702  0.239  0.1474 0.1372 0.3398 0.2738 0.1154],[0.001  0.001  0.001  0.9227 0.9227 0.9227],-2.503415450963562,-30.121708945286475,False,[1.1716],0.8242625962404506,2.1102874836746293,"[0.0000e+00 5.5278e-04 5.5278e-04 5.5278e-04 9.2414e-01 9.2414e-01
 9.2414e-01]"
11,0.22,[0.6166],[4.4367],[4.3199 0.2407 0.1491 0.139  0.3378 0.2717 0.1144],[0.001  0.001  0.001  0.9233 0.9233 0.9233],-2.4160661857613466,-32.53777513104782,False,[1.0834],0.8242625962404506,2.1102874836746293,"[0.0000e+00 5.5278e-04 5.5278e-04 5.5278e-04 9.2414e-01 9.2414e-01
 9.2414e-01]"
12,0.24,[0.7053],[4.424],[4.9416 0.2424 0.1509 0.1407 0.3355 0.2695 0.1135],[0.001  0.001  0.001  0.9236 0.9236 0.9236],-2.3278241203855083,-34.86559925143333,False,[0.9947],0.8242625962404506,2.1102874836746293,"[0.0000e+00 5.5278e-04 5.5278e-04 5.5278e-04 9.2414e-01 9.2414e-01
 9.2414e-01]"
