step,time,exo_action,exo_torque,jpos,jvel,mlen,act,reward,cumulative_reward,solved,pose_err,MA,MR,MF,avg_fatigue,force_scale,activation_slowdown,ctrl
0,0.0,[1.],1.0,[1.0014],[0.1617],[7.044  0.2489 0.157  0.1468 0.3281 0.2618 0.1106],[0.1205 0.16   0.1401 0.7869 0.7869 0.7869],-2.152569232989207,-2.152569232989207,False,[0.9986],[0.1265 0.1698 0.1479 0.9999 1.     1.    ],[ 8.7343e-01  8.3013e-01  8.5200e-01  0.0000e+00 -1.1102e-16  0.0000e+00],[3.9114e-05 1.1949e-04 1.3329e-04 1.2499e-04 4.5132e-05 4.5769e-05],8.463082499840194e-05,0.8275665088902681,1.227341848229487,[1.     0.1265 0.1698 0.1479 0.9999 1.     1.    ]
1,0.02,[1.],1.0,[1.0075],[0.4336],[7.0873 0.2491 0.1571 0.1469 0.3279 0.2616 0.1105],[0.1114 0.1459 0.1287 0.8724 0.8725 0.8725],-2.265517410035785,-4.418086643024992,False,[0.9925],[0.0831 0.1059 0.0947 0.924  0.924  0.924 ],[0.9169 0.894  0.9052 0.0757 0.0758 0.0758],[6.2182e-05 1.5042e-04 1.6022e-04 3.0733e-04 2.2751e-04 2.2815e-04],0.00018930255269958147,0.8275665088902681,1.227341848229487,[1.     0.0831 0.1059 0.0947 0.924  0.924  0.924 ]
2,0.04,[1.],1.0,[1.0194],[0.7248],[7.1708 0.2493 0.1573 0.1471 0.3275 0.2612 0.1103],[0.0985 0.127  0.1129 0.9039 0.904  0.904 ],-2.295581256194519,-6.7136678992195105,False,[0.9806],[0.0573 0.0712 0.0644 0.9245 0.9245 0.9245],[0.9426 0.9287 0.9354 0.0751 0.0751 0.0751],[7.7314e-05 1.6969e-04 1.7745e-04 4.7586e-04 3.9604e-04 3.9668e-04],0.0002821720783860806,0.8275665088902681,1.227341848229487,[1.     0.0573 0.0712 0.0644 0.9245 0.9245 0.9245]
3,0.06,[1.],1.0,[1.0371],[1.0145],[7.2952 0.2496 0.1576 0.1474 0.3269 0.2606 0.1101],[0.0851 0.1081 0.0968 0.916  0.916  0.916 ],-2.292398843499471,-9.006066742718982,False,[0.9629],[0.0406 0.0497 0.0454 0.924  0.924  0.924 ],[0.9593 0.9501 0.9544 0.0754 0.0754 0.0754],[8.7739e-05 1.8262e-04 1.8915e-04 6.4435e-04 5.6455e-04 5.6519e-04],0.00037226765761986993,0.8275665088902681,1.227341848229487,[1.     0.0406 0.0497 0.0454 0.924  0.924  0.924 ]
4,0.08,[1.],1.0,[1.0605],[1.2921],[7.4596 0.25   0.158  0.1479 0.3262 0.2598 0.1098],[0.0726 0.0911 0.082  0.921  0.921  0.921 ],-2.274159252981595,-11.280225995700576,False,[0.9395],[0.0294 0.0356 0.0326 0.9244 0.9244 0.9244],[0.9705 0.9642 0.9672 0.0748 0.0749 0.0749],[9.5129e-05 1.9164e-04 1.9738e-04 8.1289e-04 7.3309e-04 7.3372e-04],0.0004606403383583128,0.8275665088902681,1.227341848229487,[1.     0.0294 0.0356 0.0326 0.9244 0.9244 0.9244]
5,0.1,[1.],1.0,[1.0892],[1.5513],[7.6617 0.2505 0.1585 0.1484 0.3252 0.2589 0.1094],[0.0614 0.0762 0.069  0.9228 0.9228 0.9228],-2.246451830515369,-13.526677826215945,False,[0.9108],[0.0215 0.0259 0.0238 0.924  0.924  0.924 ],[0.9784 0.9739 0.976  0.075  0.0751 0.0751],[0.0001 0.0002 0.0002 0.001  0.0009 0.0009],0.000547782430217625,0.8275665088902681,1.227341848229487,[1.     0.0215 0.0259 0.0238 0.924  0.924  0.924 ]
6,0.12,[1.],1.0,[1.1229],[1.7879],[7.8986 0.2511 0.1591 0.1489 0.324  0.2577 0.1089],[0.0516 0.0636 0.0578 0.9237 0.9237 0.9237],-2.2130632668818806,-15.739741093097825,False,[0.8771],[0.016  0.0191 0.0176 0.9244 0.9244 0.9244],[0.9839 0.9807 0.9822 0.0744 0.0745 0.0745],[0.0001 0.0002 0.0002 0.0011 0.0011 0.0011],0.0006341917871357426,0.8275665088902681,1.227341848229487,[1.     0.016  0.0191 0.0176 0.9244 0.9244 0.9244]
7,0.14,[1.],1.0,[1.161],[1.9993],[8.1667 0.2517 0.1598 0.1496 0.3227 0.2563 0.1083],[0.0433 0.053  0.0483 0.9239 0.9239 0.9239],-2.1743564201448002,-17.914097513242623,False,[0.839],[0.0119 0.0142 0.0131 0.924  0.924  0.924 ],[0.988  0.9856 0.9867 0.0747 0.0748 0.0748],[0.0001 0.0002 0.0002 0.0013 0.0012 0.0012],0.000719917316876353,0.8275665088902681,1.227341848229487,[1.     0.0119 0.0142 0.0131 0.924  0.924  0.924 ]
8,0.16,[1.],1.0,[1.2031],[2.1848],[8.4627 0.2524 0.1605 0.1503 0.3212 0.2548 0.1077],[0.0362 0.044  0.0403 0.9242 0.9242 0.9242],-2.1321696801312635,-20.046267193373886,False,[0.7969],[0.009  0.0106 0.0098 0.9244 0.9244 0.9244],[0.9909 0.9892 0.99   0.0741 0.0742 0.0742],[0.0001 0.0002 0.0002 0.0015 0.0014 0.0014],0.0008053502360063032,0.8275665088902681,1.227341848229487,[1.     0.009  0.0106 0.0098 0.9244 0.9244 0.9244]
9,0.18,[1.],1.0,[1.2485],[2.3437],[8.7827 0.2532 0.1612 0.151  0.3195 0.2532 0.1069],[0.0303 0.0366 0.0336 0.9241 0.9241 0.9241],-2.086130660775071,-22.132397854148955,False,[0.7515],[0.0068 0.008  0.0074 0.924  0.924  0.924 ],[0.9931 0.9918 0.9923 0.0744 0.0744 0.0744],[0.0001 0.0002 0.0002 0.0017 0.0016 0.0016],0.0008903228281120557,0.8275665088902681,1.227341848229487,[1.     0.0068 0.008  0.0074 0.924  0.924  0.924 ]
