step,time,exo_action,exo_torque,jpos,jvel,mlen,act,reward,cumulative_reward,solved,pose_err,MA,MR,MF,avg_fatigue,force_scale,activation_slowdown,ctrl
0,0.0,[0.],0.0,[0.9965],[-0.2722],[7.0095 0.2489 0.1569 0.1467 0.3283 0.262  0.1106],[0.1205 0.16   0.1401 0.7869 0.7869 0.7869],-2.1574687361226204,-2.1574687361226204,False,[1.0035],[0.1265 0.1698 0.1479 0.9999 1.     1.    ],[ 8.7343e-01  8.3013e-01  8.5200e-01  0.0000e+00 -1.1102e-16  0.0000e+00],[3.9114e-05 1.1949e-04 1.3329e-04 1.2499e-04 4.5132e-05 4.5769e-05],8.463082499840194e-05,0.8275665088902681,1.227341848229487,[0.     0.1265 0.1698 0.1479 0.9999 1.     1.    ]
1,0.02,[0.],0.0,[0.9897],[-0.3816],[6.9618 0.2487 0.1568 0.1466 0.3285 0.2622 0.1107],[0.1114 0.1459 0.1287 0.8724 0.8725 0.8725],-2.283356821841074,-4.440825557963694,False,[1.0103],[0.0831 0.1059 0.0947 0.924  0.924  0.924 ],[0.9169 0.894  0.9052 0.0757 0.0758 0.0758],[6.2182e-05 1.5042e-04 1.6022e-04 3.0733e-04 2.2751e-04 2.2815e-04],0.00018930255269958147,0.8275665088902681,1.227341848229487,[0.     0.0831 0.1059 0.0947 0.924  0.924  0.924 ]
2,0.04,[0.],0.0,[0.9814],[-0.432],[6.9037 0.2486 0.1566 0.1465 0.3288 0.2624 0.1108],[0.0985 0.127  0.1129 0.9039 0.904  0.904 ],-2.3335462221166745,-6.774371780080369,False,[1.0186],[0.0573 0.0712 0.0644 0.9245 0.9245 0.9245],[0.9426 0.9287 0.9354 0.0751 0.0751 0.0751],[7.7314e-05 1.6969e-04 1.7745e-04 4.7586e-04 3.9604e-04 3.9668e-04],0.0002821720783860806,0.8275665088902681,1.227341848229487,[0.     0.0573 0.0712 0.0644 0.9245 0.9245 0.9245]
3,0.06,[0.],0.0,[0.9726],[-0.4445],[6.8416 0.2484 0.1565 0.1463 0.329  0.2627 0.1109],[0.0851 0.1081 0.0968 0.916  0.916  0.916 ],-2.3568889114350684,-9.131260691515436,False,[1.0274],[0.0406 0.0497 0.0454 0.924  0.924  0.924 ],[0.9593 0.9501 0.9544 0.0754 0.0754 0.0754],[8.7739e-05 1.8262e-04 1.8915e-04 6.4435e-04 5.6455e-04 5.6519e-04],0.00037226765761986993,0.8275665088902681,1.227341848229487,[0.     0.0406 0.0497 0.0454 0.924  0.924  0.924 ]
4,0.08,[0.],0.0,[0.9638],[-0.4294],[6.78   0.2483 0.1563 0.1461 0.3293 0.263  0.1111],[0.0726 0.0911 0.082  0.921  0.921  0.921 ],-2.370783063659921,-11.502043755175357,False,[1.0362],[0.0294 0.0356 0.0326 0.9244 0.9244 0.9244],[0.9705 0.9642 0.9672 0.0748 0.0749 0.0749],[9.5129e-05 1.9164e-04 1.9738e-04 8.1289e-04 7.3309e-04 7.3372e-04],0.0004606403383583128,0.8275665088902681,1.227341848229487,[0.     0.0294 0.0356 0.0326 0.9244 0.9244 0.9244]
5,0.1,[0.],0.0,[0.9556],[-0.3927],[6.7222 0.2481 0.1562 0.146  0.3296 0.2633 0.1112],[0.0614 0.0762 0.069  0.9228 0.9228 0.9228],-2.380019026626382,-13.88206278180174,False,[1.0444],[0.0215 0.0259 0.0238 0.924  0.924  0.924 ],[0.9784 0.9739 0.976  0.075  0.0751 0.0751],[0.0001 0.0002 0.0002 0.001  0.0009 0.0009],0.000547782430217625,0.8275665088902681,1.227341848229487,[0.     0.0215 0.0259 0.0238 0.924  0.924  0.924 ]
6,0.12,[0.],0.0,[0.9483],[-0.3391],[6.6709 0.248  0.156  0.1459 0.3298 0.2635 0.1113],[0.0516 0.0636 0.0578 0.9237 0.9237 0.9237],-2.387588237838659,-16.2696510196404,False,[1.0517],[0.016  0.0191 0.0176 0.9244 0.9244 0.9244],[0.9839 0.9807 0.9822 0.0744 0.0745 0.0745],[0.0001 0.0002 0.0002 0.0011 0.0011 0.0011],0.0006341917871357426,0.8275665088902681,1.227341848229487,[0.     0.016  0.0191 0.0176 0.9244 0.9244 0.9244]
7,0.14,[0.],0.0,[0.9423],[-0.2728],[6.6282 0.2479 0.1559 0.1457 0.33   0.2637 0.1113],[0.0433 0.053  0.0483 0.9239 0.9239 0.9239],-2.3930787310225914,-18.66272975066299,False,[1.0577],[0.0119 0.0142 0.0131 0.924  0.924  0.924 ],[0.988  0.9856 0.9867 0.0747 0.0748 0.0748],[0.0001 0.0002 0.0002 0.0013 0.0012 0.0012],0.000719917316876353,0.8275665088902681,1.227341848229487,[0.     0.0119 0.0142 0.0131 0.924  0.924  0.924 ]
8,0.16,[0.],0.0,[0.9376],[-0.1971],[6.5956 0.2478 0.1559 0.1457 0.3302 0.2638 0.1114],[0.0362 0.044  0.0403 0.9242 0.9242 0.9242],-2.397597212775557,-21.06032696343855,False,[1.0624],[0.009  0.0106 0.0098 0.9244 0.9244 0.9244],[0.9909 0.9892 0.99   0.0741 0.0742 0.0742],[0.0001 0.0002 0.0002 0.0015 0.0014 0.0014],0.0008053502360063032,0.8275665088902681,1.227341848229487,[0.     0.009  0.0106 0.0098 0.9244 0.9244 0.9244]
9,0.18,[0.],0.0,[0.9346],[-0.1152],[6.5741 0.2477 0.1558 0.1456 0.3303 0.2639 0.1114],[0.0303 0.0366 0.0336 0.9241 0.9241 0.9241],-2.4000950254514057,-23.460421988889955,False,[1.0654],[0.0068 0.008  0.0074 0.924  0.924  0.924 ],[0.9931 0.9918 0.9923 0.0744 0.0744 0.0744],[0.0001 0.0002 0.0002 0.0017 0.0016 0.0016],0.0008903228281120557,0.8275665088902681,1.227341848229487,[0.     0.0068 0.008  0.0074 0.924  0.924  0.924 ]
