step,time,jpos,jvel,mlen,act,reward,cumulative_reward,solved,pose_err,force_scale,activation_slowdown,ctrl
0,0.0,[0.0094],[1.0293],[0.0803 0.2778 0.1667 0.1544 0.4218 0.3416 0.1472],[0.001 0.001 0.001 0.786 0.786 0.786],-2.825050197328312,-2.825050197328312,False,[1.6906],1.0,1.0,"[0.0000e+00 5.5278e-04 5.5278e-04 5.5278e-04 9.2414e-01 9.2414e-01
 9.2414e-01]"
1,0.02,[0.046],[2.4979],[0.3908 0.2786 0.1675 0.1551 0.4214 0.3412 0.1466],[0.001  0.001  0.001  0.8828 0.8828 0.8828],-2.9282968652904673,-5.753347062618779,False,[1.654],1.0,1.0,"[0.0000e+00 5.5278e-04 5.5278e-04 5.5278e-04 9.2414e-01 9.2414e-01
 9.2414e-01]"
2,0.04,[0.1128],[4.0396],[0.9591 0.28   0.1689 0.1566 0.4206 0.3404 0.1457],[0.001 0.001 0.001 0.911 0.911 0.911],-2.90210210329819,-8.65544916591697,False,[1.5872],1.0,1.0,"[0.0000e+00 5.5278e-04 5.5278e-04 5.5278e-04 9.2414e-01 9.2414e-01
 9.2414e-01]"
3,0.06,[0.2109],[5.6123],[1.7925 0.2823 0.1712 0.1589 0.4191 0.339  0.1443],[0.001  0.001  0.001  0.9199 0.9199 0.9199],-2.8168736635330633,-11.472322829450032,False,[1.4891],1.0,1.0,"[0.0000e+00 5.5278e-04 5.5278e-04 5.5278e-04 9.2414e-01 9.2414e-01
 9.2414e-01]"
4,0.08,[0.3406],[7.2026],[2.8952 0.2854 0.1743 0.162  0.4167 0.3366 0.1424],[0.001  0.001  0.001  0.9228 0.9228 0.9228],-2.691282107205529,-14.163604936655561,False,[1.3594],1.0,1.0,"[0.0000e+00 5.5278e-04 5.5278e-04 5.5278e-04 9.2414e-01 9.2414e-01
 9.2414e-01]"
5,0.1,[0.5021],[8.7781],[4.2675 0.2893 0.1782 0.1659 0.4129 0.3328 0.1403],[0.001  0.001  0.001  0.9237 0.9237 0.9237],-2.5311740723965013,-16.694779009052063,False,[1.1979],1.0,1.0,"[0.0000e+00 5.5278e-04 5.5278e-04 5.5278e-04 9.2414e-01 9.2414e-01
 9.2414e-01]"
6,0.12,[0.6943],[10.2728],[5.9013 0.2939 0.1828 0.1705 0.4074 0.3273 0.1378],[0.001 0.001 0.001 0.924 0.924 0.924],-2.339404131509905,-19.034183140561968,False,[1.0057],1.0,1.0,"[0.0000e+00 5.5278e-04 5.5278e-04 5.5278e-04 9.2414e-01 9.2414e-01
 9.2414e-01]"
7,0.14,[0.9148],[11.6206],[7.7755 0.2989 0.1878 0.1755 0.3998 0.3197 0.1349],[0.001  0.001  0.001  0.9241 0.9241 0.9241],-2.1190559603431027,-21.153239100905072,False,[0.7852],1.0,1.0,"[0.0000e+00 5.5278e-04 5.5278e-04 5.5278e-04 9.2414e-01 9.2414e-01
 9.2414e-01]"
8,0.16,[1.1607],[12.8169],[9.8658 0.3042 0.1931 0.1807 0.3899 0.3098 0.1309],[0.001  0.001  0.001  0.9241 0.9241 0.9241],-1.8731750098583306,-23.0264141107634,False,[0.5393],1.0,1.0,"[0.0000e+00 5.5278e-04 5.5278e-04 5.5278e-04 9.2414e-01 9.2414e-01
 9.2414e-01]"
9,0.18,[1.4257],[13.4941],[12.1187  0.3094  0.1983  0.186   0.3779  0.2978  0.1256],[0.02   0.0139 0.001  0.5052 0.8914 0.9184],-1.4210806740041333,-24.447494784767535,False,[0.2743],1.0,1.0,"[0.0000e+00 2.0191e-02 1.4022e-02 9.0470e-04 1.6443e-01 8.7166e-01
 9.1495e-01]"
