timestep,mean_reward
2048,165.1845
4096,142.9738
6144,122.7030
8192,130.9761
10240,102.9407
12288,79.8658
14336,52.1681
16384,54.0643
18432,23.9317
20480,68.7723
22528,88.2278
24576,120.7721
26624,140.1118
28672,156.2282
30720,145.4765
32768,129.5059
34816,137.2200
36864,126.1854
38912,140.4404
40960,147.2049
43008,183.6904
45056,192.3582
47104,214.5701
49152,212.5142
51200,197.4049
53248,168.0653
55296,165.7539
57344,148.8697
59392,148.4268
61440,151.3914
63488,172.4028
65536,207.9695
67584,203.1041
69632,216.1319
71680,209.6013
