timestep,mean_reward
512,72.4207
1024,47.9347
1536,134.3968
2048,139.9417
2560,150.9007
3072,140.3126
3584,115.9154
4096,115.4405
4608,142.8288
5120,132.1180
5632,126.8010
6144,141.6960
6656,126.1858
7168,109.4460
7680,115.1954
8192,110.5383
8704,109.5913
9216,102.4128
9728,101.7267
10240,117.8594
10752,112.6760
11264,119.2860
11776,99.8742
12288,119.7389
12800,106.7577
13312,119.9498
13824,131.0697
14336,121.2637
14848,113.6932
15360,123.3102
15872,134.4679
16384,137.3285
16896,139.1900
17408,132.8634
17920,133.7507
18432,116.2662
18944,118.6429
19456,122.2031
19968,128.2600
20480,131.0579
20992,117.2647
21504,128.5909
22016,127.6519
22528,118.7723
23040,122.7943
23552,122.2548
24064,126.2751
24576,125.3991
25088,122.2226
25600,106.9988
26112,102.9926
26624,112.6892
27136,103.5695
27648,110.5915
28160,109.4207
28672,107.5828
29184,118.4631
29696,112.4672
30208,90.0354
30720,89.3971
31232,85.8007
31744,76.6233
32256,76.0148
32768,82.0356
33280,74.5285
33792,75.2575
34304,83.5783
34816,101.0764
35328,99.9432
35840,103.1609
36352,103.6980
36864,108.4027
37376,114.4368
37888,124.2572
38400,147.5263
38912,148.7651
39424,149.2795
39936,156.8866
40448,162.7069
40960,176.8292
41472,178.3041
41984,183.3715
42496,191.1114
43008,200.5127
43520,187.9175
44032,182.8825
44544,184.2970
45056,175.1455
45568,175.0088
46080,176.8374
46592,166.6680
47104,184.7814
47616,177.2931
48128,177.9083
48640,158.8188
49152,151.7508
49664,151.6319
50176,151.6260
50688,139.1871
51200,144.5230
51712,143.2989
52224,122.7332
52736,112.1972
53248,108.6728
53760,106.4055
54272,109.2851
54784,109.6470
55296,103.7192
55808,94.7708
56320,94.4382
56832,100.6998
57344,107.1771
57856,102.9628
58368,102.9201
58880,107.7615
59392,104.2809
59904,104.0758
60416,109.3538
60928,111.5996
61440,106.3490
61952,121.8617
62464,116.1817
62976,112.9955
63488,108.3936
64000,121.3317
64512,119.8442
65024,114.7788
65536,114.7193
66048,122.5361
66560,124.1520
67072,111.7239
67584,117.4028
68096,116.4765
68608,110.9017
69120,113.9450
69632,122.3731
70144,128.4763
70656,115.5310
71168,117.6681
71680,122.7109
72192,114.6255
72704,126.5469
73216,138.8746
73728,141.1687
74240,144.1502
74752,151.9469
75264,148.4372
75776,149.3516
76288,133.9264
76800,132.1496
77312,121.7993
77824,132.0289
78336,139.5464
78848,138.5794
79360,129.7908
79872,127.1640
80384,129.2335
80896,131.9485
81408,136.3962
81920,130.7546
82432,132.8070
82944,119.2033
83456,121.2015
83968,109.3919
84480,111.2739
84992,112.4498
85504,111.4520
86016,133.7908
86528,131.4379
87040,133.9234
87552,141.7532
88064,141.1636
88576,143.0300
89088,156.5910
89600,163.7049
90112,155.7531
90624,150.7218
91136,163.1321
91648,159.4229
92160,171.3715
92672,168.4230
93184,168.6008
93696,149.6626
94208,152.1635
94720,149.1222
95232,157.2623
95744,147.1563
96256,143.9653
96768,151.8471
97280,142.6738
97792,132.6169
98304,116.2813
98816,113.1904
99328,117.4643
99840,122.4780
100352,135.7413
100864,145.8651
101376,154.3840
101888,151.7878
102400,157.0994
102912,159.1519
103424,165.9392
103936,174.0038
