timestep,mean_reward
1000,-3.1146
2000,-82.4073
3000,77.2688
4000,-10.7552
5000,-77.7854
6000,-61.9030
7000,-21.7167
8000,-49.3773
9000,-63.4839
10000,15.7079
11000,-18.8123
12000,-73.7950
13000,137.9245
14000,-82.8786
15000,144.7179
16000,-1.9346
17000,78.3516
18000,58.0485
19000,-6.6731
20000,87.5195
21000,-16.8203
22000,-65.4534
23000,-88.1933
24000,134.5095
25000,-39.2829
26000,103.4323
27000,-58.9263
28000,-61.4447
29000,-48.9723
30000,6.7546
31000,122.7040
32000,-70.2475
33000,-0.7609
34000,-8.8775
35000,-19.0898
36000,-42.0160
37000,42.2337
38000,125.2844
39000,14.1199
40000,52.4620
41000,151.5118
42000,92.2214
43000,-46.6042
44000,-59.0259
45000,-44.1775
46000,-63.4703
47000,-95.6241
48000,45.5275
49000,-44.8700
50000,-58.9141
51000,44.3973
52000,33.6314
53000,-0.9839
54000,-20.5976
55000,-8.4083
56000,93.3343
57000,-55.9152
58000,-57.7124
59000,36.4884
60000,99.1193
61000,114.7852
62000,161.8628
63000,-44.2920
64000,44.1092
65000,56.3010
66000,-38.6602
67000,-2.7196
68000,-38.6316
69000,-64.7045
70000,95.5575
71000,46.8870
72000,72.6341
73000,160.9109
74000,5.3320
75000,117.6080
76000,-6.0057
77000,-106.2893
78000,127.7896
79000,70.9235
80000,92.3131
81000,85.1601
82000,-27.6190
83000,2.4520
84000,23.8546
85000,116.4917
86000,157.7953
87000,-6.3870
88000,184.1341
89000,5.6199
90000,98.9302
91000,102.8781
92000,50.2983
93000,-18.8934
94000,-17.8648
95000,29.6746
96000,-7.4314
97000,95.3036
98000,-28.3586
99000,76.4532
100000,77.4728
101000,171.1741
102000,133.5279
103000,48.3059
104000,158.5675
105000,41.3342
106000,0.8881
107000,15.8525
108000,106.1548
109000,-35.8932
110000,52.3837
111000,-47.3423
112000,91.2032
113000,155.3790
114000,178.0770
115000,153.7096
116000,185.7481
117000,210.0655
118000,84.6229
119000,79.4465
120000,83.5797
121000,159.9967
122000,240.8189
123000,194.4153
124000,114.8602
125000,173.9278
126000,76.1907
127000,53.9590
128000,118.1516
129000,67.8584
130000,39.7218
131000,315.9761
132000,16.2006
133000,42.9195
134000,102.2442
135000,181.9627
136000,135.5151
137000,173.8776
138000,233.3110
139000,25.6423
140000,110.9293
141000,94.0002
142000,66.7841
143000,-53.6143
144000,83.1338
145000,139.3479
146000,198.6532
147000,4.7202
148000,9.2317
149000,146.8627
150000,171.4440
151000,115.4683
152000,271.0417
153000,114.8476
154000,215.8752
155000,211.6993
156000,53.8958
157000,40.8935
158000,80.9768
159000,125.3247
160000,143.0609
161000,220.6050
162000,226.2794
163000,81.1755
164000,8.9724
165000,16.6262
166000,66.6800
167000,-9.6643
168000,141.2803
169000,92.1910
170000,41.7177
171000,-42.6012
172000,216.8331
173000,24.5579
174000,110.3607
175000,-78.4259
176000,46.1126
177000,60.9572
178000,177.8728
179000,237.0368
180000,77.4735
181000,307.3166
182000,116.8066
183000,149.6232
184000,12.1923
185000,94.7055
186000,107.1506
187000,223.1528
188000,28.6342
189000,189.7217
190000,236.7662
191000,114.6420
192000,126.7800
193000,198.7438
194000,69.2490
195000,62.4584
196000,170.2078
197000,158.7408
198000,122.5169
199000,128.0898
200000,90.6235
201000,264.2390
202000,99.7454
203000,125.5390
204000,252.3740
205000,77.9131
206000,334.9748
207000,97.0591
208000,183.3658
209000,330.1560
210000,87.2992
211000,-3.4753
212000,92.5264
213000,161.7354
214000,63.9887
215000,149.7880
216000,70.9521
217000,101.3328
218000,118.9914
219000,219.2955
220000,288.4481
221000,178.1729
222000,130.6133
223000,135.9001
224000,65.5342
225000,132.3825
226000,285.1798
227000,223.4129
228000,151.3166
229000,152.5815
