timestep,mean_reward
1000,-11.2439
2000,-20.7614
3000,18.3703
4000,292.9816
5000,155.9160
6000,242.5470
7000,251.1689
8000,214.5133
9000,228.5061
10000,312.5697
11000,111.7845
12000,22.5704
13000,255.9484
14000,163.2766
15000,185.4878
16000,-13.2709
17000,304.1558
18000,124.5524
19000,46.5244
20000,209.3585
21000,-7.3008
22000,-8.4455
23000,177.2400
24000,224.9733
25000,179.4425
26000,205.7757
27000,214.2794
28000,246.6778
29000,423.8121
30000,59.9455
31000,220.3929
32000,133.6309
33000,352.6775
34000,279.4013
35000,144.1399
36000,146.7628
37000,110.4577
38000,257.0517
39000,163.9580
40000,135.6157
41000,124.3121
42000,162.6645
43000,297.4586
44000,330.6703
45000,279.4791
46000,157.9345
47000,233.6695
48000,162.6476
49000,147.2072
50000,247.3436
51000,174.5402
52000,260.4350
53000,205.2088
54000,267.3888
55000,160.2593
56000,187.6552
57000,412.1592
58000,209.0586
59000,250.6923
60000,259.3687
61000,315.4253
62000,244.3057
63000,238.8662
64000,278.1728
65000,216.2870
66000,316.8407
67000,219.9082
68000,380.8450
69000,246.4839
70000,202.9106
71000,153.4029
72000,266.1805
73000,279.8624
74000,276.4163
75000,293.3464
76000,248.7879
77000,220.8093
78000,229.9846
79000,304.6004
80000,187.7874
81000,338.7995
82000,340.8716
83000,223.2307
84000,406.8327
85000,92.7526
86000,410.9093
87000,330.0654
88000,334.7092
89000,438.3408
90000,393.3585
91000,390.6743
92000,430.8595
93000,283.3725
94000,395.2625
95000,352.9795
96000,308.6041
97000,184.8155
98000,413.0506
99000,350.9920
100000,319.3312
101000,433.8503
102000,355.5970
103000,180.0380
104000,373.0666
105000,352.9616
106000,506.1885
107000,488.5468
108000,444.4891
109000,311.6604
110000,429.4700
111000,271.0364
112000,383.3085
113000,367.7433
114000,443.8604
115000,357.9489
116000,307.7181
117000,387.5549
118000,474.9089
119000,252.0313
120000,396.6594
121000,290.6072
122000,459.9063
123000,360.0963
124000,432.2106
125000,485.8142
126000,306.7146
127000,336.8306
128000,224.0487
129000,317.7508
130000,433.1881
131000,327.3862
132000,484.0629
133000,493.2188
134000,392.5794
135000,292.8296
136000,202.5084
137000,402.6193
138000,427.4873
139000,375.6330
140000,304.2003
141000,355.0595
142000,391.8400
143000,575.6394
144000,319.6096
145000,393.3854
146000,391.9383
147000,329.5938
148000,377.0744
149000,366.5272
150000,269.9849
151000,464.1654
152000,437.0885
153000,386.0395
154000,99.6601
155000,356.9680
156000,355.4860
157000,359.4056
158000,354.2326
159000,210.6328
160000,456.4262
161000,393.9831
162000,333.5158
163000,349.1232
164000,288.2407
165000,310.7741
166000,443.9700
167000,525.6155
168000,428.5533
169000,554.5139
170000,495.8456
171000,524.8935
172000,508.9293
173000,451.3203
174000,294.2897
175000,326.9905
176000,473.9134
177000,407.7923
178000,195.7958
179000,251.7682
180000,216.9272
181000,216.7794
182000,211.2885
183000,270.5723
184000,269.5710
185000,218.2402
186000,338.6949
187000,283.1270
188000,169.1982
189000,451.8264
190000,396.4322
191000,315.0756
192000,441.1310
193000,396.5865
194000,281.9196
195000,410.9015
196000,255.4778
197000,394.8119
198000,475.0340
199000,523.0511
200000,439.3558
201000,321.7144
202000,334.8621
203000,419.8145
204000,487.9103
205000,227.7882
206000,482.0011
207000,414.2375
208000,305.7431
209000,395.3559
210000,460.9325
211000,363.1453
212000,584.2606
213000,360.6448
214000,333.2395
215000,494.0671
