timestep,mean_reward
256,-109.4861
512,-78.8591
768,-95.2139
1024,-28.7199
1280,-36.2831
1536,-4.4149
1792,-23.8098
2048,50.9924
2304,78.4316
2560,61.7957
2816,54.7574
3072,64.1266
3328,83.3893
3584,107.1315
3840,137.1939
4096,140.5041
4352,121.3072
4608,106.2474
4864,112.4846
5120,114.7145
5376,113.0965
5632,114.0353
5888,120.894
6144,118.4817
6400,110.0036
6656,111.168
6912,110.6602
7168,104.9873
7424,98.1193
7680,92.7376
7936,93.4773
8192,90.2102
8448,96.7739
8704,104.3791
8960,106.7547
9216,98.2513
9472,104.1211
9728,98.4084
9984,94.9678
10240,101.288
10496,101.9291
10752,101.1653
11008,112.0717
11264,114.3612
11520,108.0646
11776,109.5254
12032,100.4097
12288,94.8177
12544,106.4686
12800,115.0945
13056,119.9986
13312,118.9952
13568,106.0388
13824,93.9436
14080,95.0756
14336,103.0399
14592,106.6306
14848,99.373
15104,93.4111
15360,101.6664
15616,103.407
15872,106.9125
16128,101.5441
16384,104.0499
16640,109.6079
16896,105.6964
17152,107.1629
17408,118.117
17664,124.3252
17920,121.0971
18176,131.4171
18432,135.6822
18688,134.8287
18944,125.8556
19200,132.1769
19456,128.9979
19712,131.9423
19968,135.9427
20224,134.2401
20480,133.7098
20736,142.5473
20992,137.1962
21248,135.8362
21504,142.3891
21760,145.6418
22016,143.7115
22272,145.4859
22528,140.0359
22784,130.8464
23040,124.4427
23296,122.6234
23552,121.3014
23808,120.3567
24064,121.4646
24320,126.3887
24576,139.5622
24832,139.3855
25088,145.9887
25344,145.4161
25600,146.8709
25856,143.0364
26112,152.4215
26368,156.8089
26624,151.6134
26880,151.7565
27136,148.6768
27392,146.6462
27648,137.1604
27904,140.1058
28160,131.7435
28416,119.7759
28672,120.0452
28928,123.3306
29184,128.4549
29440,129.1227
29696,132.0917
29952,136.7743
30208,136.3778
30464,133.4222
30720,140.781
30976,137.0267
31232,131.4268
31488,132.7772
31744,135.349
32000,128.881
32256,131.8629
32512,122.9347
32768,130.9744
33024,124.0478
33280,127.6731
33536,129.0953
33792,125.8385
34048,123.417
34304,114.2812
34560,100.5078
34816,116.6899
35072,112.1286
35328,106.9387
35584,101.1732
35840,100.4535
36096,105.9064
36352,99.237
36608,99.0003
36864,102.6223
37120,110.1081
37376,111.8604
37632,125.7784
37888,125.9595
38144,128.1203
38400,129.4231
38656,127.6253
38912,131.0789
39168,132.324
39424,124.3259
39680,121.6954
39936,116.2088
40192,112.3092
40448,119.8756
40704,113.2434
40960,122.4773
41216,129.7434
41472,129.5379
41728,137.1216
41984,142.4945
42240,154.1633
