timestep,mean_reward
512,342.1803
1024,335.0621
1536,235.2754
2048,144.2320
2560,111.6782
3072,127.3778
3584,98.0055
4096,113.5790
4608,97.2674
5120,86.8789
5632,95.3692
6144,93.1133
6656,93.6620
7168,107.4553
7680,101.6794
8192,94.4368
8704,108.8725
9216,109.3356
9728,102.0841
10240,103.6300
10752,87.6663
11264,90.5694
11776,107.1125
12288,118.0025
12800,121.4914
13312,139.0124
13824,139.0397
14336,149.8325
14848,165.3250
15360,184.0736
15872,183.8670
16384,191.0602
16896,189.3264
17408,194.6636
17920,214.9752
18432,223.3853
18944,220.8921
19456,237.5072
19968,246.9583
20480,249.5736
20992,241.1425
21504,245.1965
22016,260.7178
22528,243.5331
23040,239.8937
23552,247.7995
24064,258.5739
24576,251.0374
25088,242.2827
25600,244.6413
26112,245.6649
26624,245.3635
27136,245.6464
27648,252.8206
28160,246.1711
28672,251.2060
29184,253.5964
29696,248.4463
30208,262.8297
30720,254.4526
31232,250.0118
31744,249.4801
32256,247.9110
32768,254.7305
33280,256.8905
33792,254.3828
34304,249.6566
34816,273.5618
35328,277.7595
35840,275.5269
36352,279.2944
36864,287.6917
37376,290.0483
37888,292.4207
38400,292.7454
38912,289.5915
39424,296.0137
39936,309.5488
40448,300.2893
40960,306.4154
41472,315.8746
41984,318.6630
42496,321.9826
43008,327.1921
43520,328.1744
44032,330.0468
44544,332.1442
45056,331.3396
45568,337.5209
46080,349.8058
46592,348.8039
47104,319.8724
47616,334.8893
48128,329.8531
48640,345.0293
49152,332.0459
49664,334.4759
50176,340.4837
50688,338.3962
51200,338.7799
51712,337.1844
52224,321.6004
52736,332.9029
53248,342.9279
53760,345.5526
54272,327.6909
54784,323.9241
55296,323.0773
55808,317.8155
56320,316.1724
56832,334.2303
57344,346.7091
57856,347.3949
58368,348.8112
58880,346.6857
59392,361.0602
59904,361.1176
60416,373.7759
60928,384.8199
61440,383.9450
61952,384.8563
62464,372.5115
62976,365.9897
63488,365.7974
64000,381.3669
64512,398.7637
65024,404.9256
65536,412.8844
66048,412.1900
66560,410.8126
67072,416.7922
67584,417.1316
68096,415.8569
68608,421.6922
69120,405.3963
69632,407.1032
70144,385.2019
70656,382.2382
71168,382.2549
71680,389.2727
72192,397.8460
72704,399.0686
73216,388.5505
73728,379.7055
74240,369.6733
74752,367.0208
75264,367.8487
75776,355.1709
76288,355.2248
76800,347.3689
77312,343.5551
77824,329.4052
78336,336.9805
78848,338.0000
79360,344.7743
79872,336.8493
80384,351.0617
80896,356.3428
81408,338.4529
81920,336.9417
82432,336.7019
82944,346.9430
83456,334.4405
83968,342.7287
84480,348.0228
84992,346.9476
85504,355.5525
86016,374.0311
86528,363.0896
87040,358.7473
87552,353.5885
88064,355.3054
88576,350.6807
89088,356.9993
89600,381.2305
90112,385.8669
90624,383.1430
91136,400.2730
91648,415.0833
92160,414.6966
92672,408.1945
93184,408.4512
93696,414.5439
94208,411.5058
94720,421.6617
95232,412.3399
95744,405.3377
96256,411.9533
96768,408.2437
97280,431.1645
97792,417.9634
98304,425.8060
98816,420.6981
99328,405.9256
99840,414.0318
100352,414.1041
100864,410.0336
101376,405.3742
101888,405.9325
102400,420.2560
102912,428.1749
103424,434.7071
103936,435.7920
104448,428.8930
104960,421.2534
105472,426.7801
105984,411.3811
106496,408.4437
107008,399.9934
107520,403.9498
108032,407.2879
108544,391.0844
109056,390.3016
109568,379.3687
110080,373.1781
110592,371.9008
111104,377.4361
111616,378.9426
112128,371.7922
112640,371.8635
113152,363.3751
113664,354.4618
114176,352.6826
114688,352.1707
115200,353.8885
115712,355.7411
116224,349.4438
116736,344.6725
117248,336.6758
117760,346.4389
118272,351.0753
118784,363.6236
119296,366.5777
119808,384.7550
120320,376.5927
120832,373.2805
121344,365.2474
121856,369.4435
122368,369.8772
122880,358.3068
123392,382.6166
123904,381.7017
124416,386.5838
124928,365.3290
125440,366.5134
125952,374.1614
126464,370.7103
126976,369.7876
127488,374.0730
128000,360.2820
128512,343.7494
129024,332.2813
129536,333.3945
130048,338.1963
130560,337.2150
131072,332.7433
131584,346.8018
132096,346.3751
132608,340.4437
133120,328.7623
133632,321.8946
134144,325.4470
134656,309.5715
135168,320.6392
135680,336.3033
136192,339.1499
136704,351.2687
137216,350.0070
137728,355.8655
138240,350.5641
138752,367.8078
139264,366.9767
139776,362.6457
140288,350.0425
140800,355.2563
141312,343.8074
141824,338.1107
142336,334.2306
142848,337.3069
143360,333.7900
143872,327.8526
144384,331.7937
144896,342.6873
145408,336.3340
145920,342.2755
146432,340.9706
146944,339.0490
147456,330.4052
147968,327.1795
148480,335.5205
148992,344.2614
149504,347.2337
150016,346.8667
150528,342.3140
151040,353.3246
151552,349.8756
152064,370.0226
152576,369.6491
153088,377.3537
153600,390.6462
154112,400.3562
154624,397.9532
155136,392.0798
155648,398.2053
156160,386.8768
156672,375.0431
157184,380.5072
157696,380.7612
158208,368.8796
158720,373.3754
159232,367.4341
159744,364.2035
160256,369.5032
160768,375.1738
161280,365.9076
161792,364.7875
162304,364.6259
162816,364.5351
163328,361.4482
163840,367.3924
164352,374.9137
164864,368.6496
165376,370.4757
165888,367.1816
166400,388.7375
166912,387.9489
167424,385.3405
167936,398.6222
168448,391.8146
168960,401.7312
169472,400.3315
169984,399.1175
170496,393.5329
171008,394.9590
171520,390.0689
172032,389.7070
172544,393.9550
173056,391.6362
173568,402.6116
174080,400.9637
174592,396.8456
175104,398.5240
175616,391.4359
176128,386.2219
176640,385.9511
177152,398.8618
177664,393.0475
178176,388.9176
178688,395.8116
179200,391.3979
179712,396.8186
180224,380.5525
180736,380.3184
181248,386.3116
181760,389.6427
182272,395.0958
182784,378.6980
183296,377.8270
183808,366.8211
184320,368.5514
184832,373.2613
185344,374.7575
185856,375.5938
186368,385.3899
186880,387.1228
187392,379.9905
187904,391.2542
188416,393.1589
188928,385.0033
189440,380.4081
189952,383.9953
190464,392.0269
190976,394.9509
191488,386.4678
192000,384.4375
192512,385.0760
193024,403.7872
193536,399.5359
194048,390.8063
194560,395.7812
195072,395.2966
195584,399.0328
196096,385.3398
196608,375.5997
197120,378.8322
197632,377.4417
198144,364.4708
198656,360.1530
199168,365.1885
199680,378.7810
200192,380.1858
200704,391.6031
201216,388.9329
201728,396.4965
202240,400.1275
202752,397.3580
203264,392.3833
203776,389.9021
204288,396.9530
204800,383.1607
205312,383.6319
205824,377.3776
206336,380.3969
206848,361.2797
207360,373.0767
207872,378.1310
208384,391.0525
208896,386.3204
209408,377.8123
209920,357.3439
210432,350.8470
210944,365.0098
211456,359.3861
211968,347.6945
212480,340.8428
212992,329.7649
213504,338.2282
214016,336.2356
214528,343.2626
215040,337.5478
215552,345.4000
216064,357.9937
216576,368.9548
217088,369.5683
217600,354.3405
218112,359.2619
218624,357.8979
219136,363.0583
219648,367.0815
220160,365.7136
220672,355.1380
221184,334.4047
221696,338.1306
222208,346.0903
222720,357.7535
223232,366.8742
223744,367.4214
224256,348.0832
224768,352.4822
225280,366.4837
225792,371.1063
226304,351.8437
226816,358.1124
227328,370.4234
227840,363.5791
228352,364.7758
228864,364.7056
229376,363.4715
229888,369.0375
230400,380.4278
230912,388.3520
231424,395.8557
231936,406.1180
232448,393.4242
232960,407.4323
233472,408.3204
233984,409.9381
234496,402.1736
235008,401.2860
235520,415.0428
236032,416.4180
236544,417.0519
237056,416.7054
237568,416.5175
238080,419.8400
238592,412.5691
239104,420.5172
239616,421.3909
240128,430.8327
240640,430.0188
241152,448.6086
241664,448.5755
242176,431.8841
242688,428.4067
243200,415.3103
243712,413.0210
244224,418.5402
244736,425.3045
245248,405.0267
245760,399.2267
246272,404.4947
246784,396.1675
247296,382.5248
247808,390.3598
248320,398.7617
248832,396.1912
249344,390.1687
249856,389.8333
250368,394.4607
250880,381.9596
251392,381.1821
251904,391.9930
252416,396.8168
252928,401.5861
253440,402.8654
253952,403.5261
254464,407.1926
254976,413.7091
255488,392.8387
256000,402.1761
256512,410.6039
257024,420.9563
257536,427.9508
258048,425.7038
258560,406.8516
259072,409.3287
259584,425.5772
260096,416.1741
260608,408.5703
261120,422.5933
261632,416.9044
262144,414.5724
262656,415.7094
263168,422.8225
263680,408.5694
264192,418.6536
264704,417.2481
265216,429.5717
265728,439.0177
266240,427.3261
266752,424.1611
267264,423.5342
267776,410.0790
268288,424.5929
268800,429.4371
269312,420.2950
269824,424.3505
270336,428.9221
270848,424.7011
271360,402.2398
271872,401.5424
272384,393.0225
272896,405.3460
273408,399.0732
273920,402.5926
274432,382.5715
274944,399.2944
275456,401.7644
275968,388.9488
276480,404.7414
276992,406.3316
277504,417.1332
278016,412.9145
278528,414.3645
279040,425.5546
279552,415.7692
280064,426.5060
280576,429.2696
281088,441.7091
281600,453.9702
282112,446.0286
282624,437.6199
283136,455.3211
283648,450.1476
284160,449.5917
284672,448.0282
285184,431.6600
285696,441.9868
286208,438.5310
286720,434.8935
287232,446.1839
287744,437.8688
288256,433.6450
288768,423.3534
289280,409.9495
289792,419.6277
290304,402.2177
290816,398.4903
291328,390.8802
291840,394.5241
292352,405.6116
292864,399.1533
293376,401.8065
293888,407.3021
294400,411.6375
294912,422.3197
295424,420.7296
295936,404.8439
296448,409.8833
296960,399.2359
297472,396.5795
297984,401.0594
298496,411.5212
299008,433.3985
299520,413.7418
300032,427.5150
300544,430.6221
301056,437.3678
301568,436.2097
302080,444.7157
302592,442.1100
303104,432.5612
303616,425.2199
304128,415.2265
304640,420.2109
305152,417.9794
305664,422.0739
306176,424.2985
306688,429.8909
307200,418.3126
307712,418.1949
308224,411.4549
308736,399.4983
309248,402.9655
309760,407.0878
310272,401.1775
310784,402.0644
311296,413.2373
311808,402.4931
312320,401.1035
312832,403.5346
313344,428.4766
313856,437.4887
314368,443.0477
314880,445.6620
315392,444.6374
315904,451.2515
316416,462.2146
316928,457.0030
317440,470.9218
317952,477.8492
318464,487.1950
318976,494.2731
319488,498.7247
320000,512.9186
320512,487.8542
321024,497.9815
321536,482.9691
322048,484.4686
322560,471.3093
323072,465.1236
323584,445.7408
324096,425.9794
324608,428.8551
325120,426.9075
325632,415.3955
326144,397.9756
326656,380.2046
327168,369.9798
327680,363.8382
328192,361.0939
328704,362.0876
329216,361.0238
329728,334.8436
330240,339.3152
330752,356.3579
331264,349.8036
331776,341.7790
332288,357.1580
332800,366.8142
333312,365.3446
333824,359.4612
334336,372.6682
334848,378.2188
335360,366.6787
335872,377.6970
336384,381.5226
336896,398.1935
337408,385.0644
337920,382.3598
338432,371.1403
338944,370.7038
339456,379.6027
339968,390.9982
340480,386.2780
340992,385.7189
341504,391.6936
342016,388.6428
342528,388.6831
343040,390.3327
343552,405.0523
344064,409.1567
344576,408.4128
345088,417.5906
345600,418.5499
346112,429.8915
346624,432.5180
347136,445.9811
347648,448.4254
348160,453.4398
348672,439.9484
349184,428.0605
349696,413.3569
350208,407.8831
350720,401.4815
351232,401.6612
351744,399.4781
352256,396.9786
352768,403.2685
353280,389.5302
353792,394.3167
354304,380.7213
354816,379.4799
355328,379.4176
355840,374.9824
356352,371.7876
356864,366.3590
357376,368.4282
357888,362.8258
358400,377.0998
358912,387.0972
359424,382.9418
359936,381.9075
360448,386.4086
360960,394.9920
361472,411.7638
361984,405.8731
362496,423.1331
363008,415.9071
363520,418.2229
364032,422.1887
364544,417.0846
365056,424.1523
365568,416.4557
366080,429.0892
366592,429.7214
367104,436.2962
367616,435.4896
368128,440.6160
368640,449.2443
369152,430.8577
369664,435.6100
370176,443.6599
370688,452.5609
371200,437.1732
371712,419.5719
372224,401.6362
372736,400.5178
373248,410.3727
373760,414.4188
374272,411.6187
374784,416.5389
375296,408.3582
375808,400.3144
376320,390.6962
376832,388.9420
377344,388.4131
377856,397.4985
378368,383.2627
378880,393.4024
379392,405.5270
379904,411.2864
380416,406.7677
380928,411.8942
381440,430.4715
381952,455.6051
382464,456.8487
382976,447.0849
383488,440.8445
384000,450.8317
384512,452.1591
385024,456.0320
385536,458.3856
386048,463.5082
386560,466.5704
387072,463.8403
387584,458.8261
388096,457.9913
388608,465.3499
389120,464.0471
389632,456.2234
390144,458.4956
390656,459.3553
391168,445.0892
391680,427.8591
392192,423.8353
392704,450.9872
393216,432.4146
393728,437.9566
394240,440.3999
394752,437.7131
395264,447.5948
395776,445.5273
396288,439.5082
396800,452.4321
397312,445.4595
397824,456.9518
398336,459.9598
398848,445.8938
399360,443.8910
399872,444.0949
400384,437.7215
400896,427.6986
401408,447.8869
401920,454.3134
402432,422.7526
402944,415.9786
403456,425.7465
403968,430.3640
404480,425.2526
404992,411.2340
405504,402.5127
406016,397.1396
406528,398.0332
407040,393.6136
407552,411.5164
408064,416.4219
408576,410.7237
409088,427.1960
409600,422.8324
410112,417.0109
410624,411.1929
411136,413.5769
411648,407.4839
412160,415.4325
412672,432.0540
413184,438.0318
413696,429.2782
414208,445.2648
414720,449.6102
415232,457.7387
415744,460.8768
416256,461.0175
416768,440.2803
417280,446.1976
417792,427.5331
418304,433.1982
418816,420.4083
419328,408.0052
419840,415.7817
420352,426.2619
420864,436.0996
421376,431.6375
421888,435.2863
422400,433.4075
422912,440.2903
423424,436.2481
423936,421.9583
424448,415.9089
424960,406.6401
425472,391.1757
425984,399.4335
426496,406.6761
427008,403.1582
427520,402.4866
428032,409.6372
428544,417.0979
429056,429.2943
429568,429.5309
430080,418.0548
430592,423.6146
431104,403.2976
431616,409.2255
432128,404.3663
432640,412.3707
433152,422.0568
433664,418.3238
434176,422.1520
434688,441.9163
435200,454.3607
435712,451.2743
436224,434.8995
436736,439.5789
437248,443.2835
437760,440.9088
438272,432.5000
438784,419.4864
439296,415.0741
439808,403.6412
440320,385.5874
440832,405.6601
441344,407.3847
441856,398.5142
442368,396.3668
442880,387.9166
443392,391.9109
443904,388.0360
444416,388.1288
444928,380.1097
445440,384.5695
445952,378.1567
446464,382.5457
446976,374.8090
447488,385.4266
448000,394.9730
448512,389.7167
449024,396.4484
449536,413.2371
450048,439.8703
450560,433.3794
451072,453.1324
451584,450.3466
452096,459.2548
452608,462.1390
453120,473.1712
453632,473.3292
454144,473.3586
454656,466.8212
455168,479.0059
455680,493.1364
456192,490.5018
456704,507.3009
457216,500.3723
457728,490.3707
458240,500.7053
458752,495.5506
459264,506.9240
459776,493.5579
460288,489.6216
460800,477.7715
461312,468.2382
461824,469.6405
462336,457.0623
462848,457.5890
463360,464.0009
463872,454.0460
464384,461.0769
464896,448.5924
465408,434.5272
465920,425.4230
466432,433.0790
466944,427.1703
467456,443.5368
467968,441.2070
468480,444.8819
468992,450.8017
469504,454.8946
470016,467.6480
470528,469.0519
471040,474.5742
471552,478.4288
472064,485.8054
472576,475.9850
473088,460.0897
473600,443.5354
474112,434.0436
474624,427.2506
475136,442.4526
475648,447.2703
476160,452.6394
476672,442.8233
477184,444.6950
477696,433.7127
478208,435.7107
478720,443.7826
479232,432.8578
479744,421.7900
480256,404.2826
480768,405.6976
481280,406.5552
481792,401.5916
482304,393.9561
482816,415.2402
483328,421.6568
483840,428.5288
484352,445.6788
484864,438.5334
485376,431.2141
485888,413.2225
486400,404.6897
486912,403.1948
487424,399.9320
487936,399.0360
488448,392.5619
488960,386.7992
489472,391.2478
489984,397.3117
490496,401.5221
491008,405.1632
491520,394.0520
492032,398.8914
492544,413.8970
493056,418.4221
493568,413.9132
494080,408.7521
494592,416.5602
495104,410.2268
495616,391.3403
496128,401.6811
496640,413.2769
497152,414.2690
497664,421.5742
498176,430.8336
498688,430.4353
499200,435.1952
499712,430.9093
500224,434.3725
500736,432.8383
501248,433.8694
501760,439.4044
502272,439.2014
502784,431.3270
503296,427.1583
503808,416.4492
504320,420.6419
504832,422.5190
505344,443.6125
505856,451.8169
506368,454.5206
506880,462.1871
507392,444.0155
507904,436.9621
508416,433.9957
508928,423.2926
509440,418.8919
509952,408.6494
510464,407.0480
510976,418.1963
511488,423.3011
512000,422.9761
512512,416.4322
513024,408.7118
513536,407.7442
514048,423.3697
514560,409.4675
515072,405.2688
515584,404.6766
516096,409.9905
516608,389.5939
517120,412.9311
517632,422.0855
518144,420.5696
518656,414.5814
519168,421.0530
519680,436.4340
520192,438.0931
520704,433.8192
521216,433.8730
521728,429.8252
522240,437.2708
522752,432.5667
523264,437.0483
523776,445.1487
524288,445.5649
524800,449.1698
525312,443.4747
525824,431.3002
526336,437.8218
526848,434.3929
527360,422.3979
527872,430.0037
528384,439.9676
528896,455.4870
529408,445.5143
529920,440.7160
530432,435.8311
530944,443.1071
531456,448.3527
531968,457.7614
532480,443.0609
532992,455.9115
533504,459.7966
534016,465.1157
534528,465.7794
535040,466.9108
535552,463.6168
536064,474.1921
536576,471.8794
537088,472.8515
537600,479.6444
538112,471.1727
538624,458.1990
539136,462.9261
539648,470.0280
540160,475.8869
540672,477.2174
541184,478.1067
541696,464.0178
542208,461.5713
542720,459.2020
543232,462.6140
543744,446.7363
544256,443.5693
544768,450.8317
545280,458.3012
545792,465.7542
546304,462.4487
546816,466.5725
547328,460.8409
547840,444.2532
548352,445.9449
548864,447.6161
549376,454.0676
549888,446.5171
550400,440.5456
550912,426.5655
551424,424.7342
551936,429.8027
552448,435.1963
552960,435.0468
553472,429.6108
553984,437.2711
554496,425.1586
555008,414.0565
555520,413.6421
556032,416.8787
556544,412.5602
557056,427.1967
557568,423.8137
558080,429.6973
558592,418.8706
559104,430.5126
559616,421.7577
560128,424.3043
560640,439.9619
561152,437.8290
561664,446.4278
562176,446.2076
562688,438.0450
563200,449.0210
563712,438.0796
564224,443.7241
564736,429.8211
565248,440.0574
565760,424.6284
566272,416.6621
566784,408.8564
567296,387.6312
567808,389.3801
568320,389.6373
568832,382.9104
569344,383.3081
569856,382.2650
570368,374.0201
570880,378.0215
571392,378.3112
571904,374.0511
572416,385.7921
572928,373.4482
573440,379.7091
573952,386.9006
574464,378.4803
574976,373.7216
575488,377.5168
576000,389.8163
576512,393.9690
577024,409.4629
577536,411.4587
578048,415.8283
578560,406.7991
579072,400.4703
579584,405.5735
580096,411.2113
580608,416.0078
581120,405.8684
581632,396.4695
582144,391.0894
582656,376.5653
583168,384.4817
583680,390.0299
584192,392.5772
584704,394.4704
585216,384.1975
585728,376.1579
586240,383.7818
586752,379.2485
587264,374.5030
587776,368.2576
588288,370.2480
588800,386.4502
589312,368.2516
589824,374.1237
590336,357.7688
590848,366.5813
591360,371.1958
591872,379.1316
592384,377.7983
592896,380.4082
593408,358.5836
593920,356.2287
594432,342.9211
594944,353.3238
595456,369.1407
595968,368.2187
596480,365.1235
596992,348.5950
597504,343.9800
598016,344.8884
598528,340.8824
599040,336.2649
599552,349.4487
600064,352.0160
600576,351.3494
601088,347.0916
601600,357.9188
602112,356.5252
602624,358.6534
603136,368.6913
603648,371.1657
604160,355.7706
604672,366.3931
605184,360.6521
