timestep,mean_reward
512,570.4629
1024,467.9989
1536,438.9425
2048,430.5379
2560,366.3291
3072,361.0434
3584,385.7101
4096,367.2107
4608,353.3179
5120,388.5110
5632,380.1896
6144,362.0774
6656,373.1372
7168,379.8486
7680,383.7471
8192,389.3161
8704,382.9618
9216,389.3435
9728,398.4965
10240,402.1940
10752,394.8425
11264,397.5406
11776,404.1647
12288,409.7129
12800,438.1036
13312,430.3131
13824,428.2340
14336,445.0977
14848,438.0899
15360,445.2114
15872,446.2840
16384,457.9499
16896,451.0703
17408,445.9220
17920,443.9881
18432,465.8593
18944,453.2969
19456,445.8935
19968,438.7593
20480,442.4137
20992,446.5514
21504,449.5047
22016,453.4553
22528,449.1649
23040,439.7910
23552,436.8377
24064,434.3866
24576,432.5572
25088,432.1525
25600,430.0845
26112,420.9248
26624,413.6017
27136,421.4078
27648,414.2621
28160,407.5891
28672,394.9029
29184,400.2748
29696,416.1820
30208,416.7918
30720,395.5712
31232,393.0358
31744,392.8593
32256,397.7559
32768,392.2598
33280,394.4418
33792,392.6765
34304,396.8745
34816,388.2662
35328,390.0191
35840,400.8620
36352,413.2743
36864,404.6453
37376,403.1095
37888,408.0974
38400,429.0787
38912,430.5638
39424,432.3685
39936,428.3091
40448,432.6532
40960,443.8270
41472,446.2484
41984,439.7007
42496,433.8077
43008,450.4464
43520,447.0171
44032,461.5177
44544,456.7213
45056,467.7660
45568,463.0282
46080,463.6008
46592,479.8071
47104,487.6098
47616,485.6926
48128,486.3639
48640,483.2300
49152,476.5210
49664,475.0743
50176,468.6913
50688,460.5054
51200,454.3243
51712,449.0529
52224,458.4148
52736,462.5511
53248,455.9955
53760,455.5010
54272,439.1121
54784,432.2364
55296,433.3042
55808,424.2058
56320,412.0590
56832,405.5569
57344,407.6300
57856,406.8580
58368,406.9441
58880,411.5122
59392,415.4436
59904,415.5714
60416,429.1441
60928,438.3707
61440,430.4438
61952,425.2942
62464,427.8524
62976,429.1357
63488,431.3928
64000,431.4589
64512,435.4683
65024,443.3521
65536,446.3226
66048,457.0010
66560,460.1751
67072,457.7827
67584,468.8067
68096,451.5041
68608,440.8561
69120,436.8661
69632,417.6541
70144,428.0321
70656,415.6976
71168,424.6975
71680,432.1795
72192,436.4249
72704,428.4676
73216,433.6386
73728,433.1102
74240,428.3965
74752,420.5013
75264,415.9066
75776,415.2765
76288,423.1116
76800,435.6197
77312,424.9451
77824,438.6502
78336,444.2596
78848,461.4203
79360,464.2679
79872,474.4627
80384,478.2242
80896,491.8807
81408,492.4167
81920,480.9413
82432,489.6460
82944,490.8077
83456,485.3369
83968,484.9826
84480,497.2313
84992,476.6177
85504,472.5387
86016,460.3498
86528,467.8080
87040,469.4836
87552,458.3955
88064,450.2273
88576,451.9357
89088,448.9892
89600,437.6363
90112,423.1571
90624,423.1600
91136,412.1975
91648,407.4744
92160,405.2600
92672,406.2395
93184,398.8902
93696,400.6816
94208,383.1381
94720,387.0055
95232,403.1186
95744,403.4302
96256,410.4649
96768,406.0924
97280,410.3173
97792,407.1477
98304,413.6503
98816,415.0268
99328,415.5220
99840,425.3769
100352,433.1911
100864,434.2045
101376,443.4873
101888,426.5574
102400,434.1880
102912,422.7404
103424,432.7923
103936,449.1024
104448,456.3262
104960,460.1893
105472,459.6515
105984,458.4387
106496,446.3956
107008,442.7319
107520,439.1630
108032,440.1698
108544,421.7037
109056,410.9546
109568,418.8027
110080,390.6408
110592,391.3988
111104,386.9495
111616,385.8805
112128,397.2391
112640,392.7204
113152,403.6105
113664,404.3200
114176,397.9832
114688,394.2081
115200,391.3157
115712,399.1265
116224,402.8368
116736,414.5747
117248,418.8188
117760,417.9531
118272,425.8616
118784,436.8103
119296,435.4097
119808,436.6684
120320,452.9672
120832,448.1762
121344,445.2771
121856,452.0629
122368,464.0050
122880,457.0488
123392,460.0579
123904,463.1595
124416,460.8110
124928,457.7416
125440,456.4832
125952,452.5414
126464,448.5674
126976,454.7252
127488,453.1958
128000,455.1627
128512,463.4186
129024,454.2352
129536,453.6069
130048,453.7964
130560,466.7001
131072,459.5612
131584,459.8261
132096,460.5732
132608,457.5025
133120,442.1065
133632,441.2125
134144,446.2791
134656,449.3647
135168,442.4091
135680,441.0933
136192,441.4377
136704,446.9995
137216,449.6233
137728,438.2600
138240,434.0942
138752,436.1062
139264,418.7415
139776,424.8354
140288,426.9276
140800,414.0481
141312,420.3281
141824,413.6154
142336,412.2313
142848,414.4842
143360,425.8180
143872,417.0956
144384,415.5437
144896,422.3565
145408,426.6606
145920,432.9988
146432,431.4930
146944,434.3963
147456,437.2351
147968,438.4075
148480,442.8958
148992,432.7290
149504,434.8145
150016,427.4527
150528,433.3458
151040,440.4270
151552,438.7909
152064,441.5425
152576,435.1086
153088,451.2904
153600,446.2187
154112,451.0843
154624,443.6312
155136,450.3255
155648,455.6870
156160,449.3478
156672,428.8210
157184,432.4321
157696,421.1888
158208,413.3759
158720,427.1918
159232,441.4844
159744,437.4041
160256,440.7439
160768,441.0318
161280,439.5515
161792,438.2362
162304,441.9054
162816,442.3984
163328,442.0547
163840,435.9829
164352,443.3969
164864,442.5342
165376,445.9387
165888,443.0011
166400,453.4656
166912,464.3200
167424,457.6855
167936,458.3345
168448,445.4604
168960,447.4053
169472,446.1237
169984,445.8237
170496,450.3413
171008,445.1160
171520,445.8752
172032,448.2375
172544,451.7639
173056,449.7275
173568,448.1055
174080,452.6161
174592,443.0463
175104,440.0748
175616,442.6691
176128,446.4545
176640,435.2968
177152,425.8085
177664,422.5461
178176,427.9157
178688,428.3866
179200,425.2612
179712,412.2687
180224,422.6443
180736,424.8696
181248,423.7386
181760,429.1191
182272,422.7060
182784,426.3095
183296,428.0345
183808,429.1769
184320,443.9293
184832,448.4458
185344,448.7368
185856,452.7587
186368,443.9974
186880,449.1138
187392,455.3233
187904,459.7883
188416,459.4332
188928,469.0850
189440,459.9224
189952,465.9730
190464,454.3966
190976,464.9348
191488,464.2301
192000,460.0728
192512,460.7037
193024,463.1101
193536,461.0375
194048,452.5903
194560,435.7869
195072,428.9245
195584,429.0326
196096,427.3784
196608,419.8019
197120,412.8372
197632,403.1089
198144,403.3559
198656,396.0814
199168,401.6775
199680,388.3381
200192,397.4137
200704,390.1120
201216,376.8394
201728,383.2752
202240,380.3428
