timestep,mean_reward
1000,351.3602
2000,429.7144
3000,345.2199
4000,318.6396
5000,456.4866
6000,95.4379
7000,466.2790
8000,391.6659
9000,403.0518
10000,432.0719
11000,368.4421
12000,576.7885
13000,439.5468
14000,476.2723
15000,437.7485
16000,466.1207
17000,366.4040
18000,288.0837
19000,338.2868
20000,551.9820
21000,432.2413
22000,447.2564
23000,497.5926
24000,334.9377
25000,366.5125
26000,396.3398
27000,422.2897
28000,467.2160
29000,373.1801
30000,421.1395
31000,346.7034
32000,473.3900
33000,317.4196
34000,425.1419
35000,358.8314
36000,438.2029
37000,489.0938
38000,526.6472
39000,392.5692
40000,397.7902
41000,493.5155
42000,425.6202
43000,348.0504
44000,554.5819
45000,412.2407
46000,539.2646
47000,547.3410
48000,487.9255
49000,514.5845
50000,456.8293
51000,280.9068
52000,404.5169
53000,459.9382
54000,496.9971
55000,363.5340
56000,529.4250
57000,439.9496
58000,551.1338
59000,524.5635
60000,395.2374
61000,604.6886
62000,595.7910
63000,558.6234
64000,410.9882
65000,555.2273
66000,575.1482
67000,574.5361
68000,525.6965
69000,385.0799
70000,552.8044
71000,598.2453
72000,524.1085
73000,588.6116
74000,604.4765
75000,572.2800
76000,627.2209
77000,518.9030
78000,574.7912
79000,549.6815
80000,580.6151
81000,568.1757
82000,598.3542
83000,509.2851
84000,612.4355
85000,629.5121
86000,492.8647
87000,532.5508
88000,499.0945
89000,611.2405
90000,370.5078
91000,241.8591
92000,375.9849
93000,348.4714
94000,461.3256
95000,380.6512
96000,522.8308
97000,562.5374
98000,450.5054
99000,471.2155
100000,411.0732
101000,527.4816
102000,339.2192
103000,574.5222
104000,590.3131
105000,552.1371
106000,551.0661
107000,575.8864
108000,566.6894
109000,550.5819
110000,512.9955
111000,637.9799
112000,419.6677
113000,585.2493
114000,577.4612
115000,625.6287
116000,525.6264
117000,619.3576
118000,544.9690
119000,593.2526
120000,591.9256
121000,496.6636
122000,551.8565
123000,584.2905
124000,598.4132
125000,509.2118
126000,639.2826
127000,593.4367
128000,601.1335
129000,607.0526
130000,582.9832
131000,339.3546
132000,420.4469
133000,392.1457
134000,476.9611
135000,634.5111
136000,448.1024
137000,428.8932
138000,581.3918
139000,372.2660
140000,623.2157
141000,460.8800
142000,498.0285
143000,366.7406
144000,588.9175
145000,539.9982
146000,443.9771
147000,634.8481
148000,559.2510
149000,639.3533
150000,400.4879
151000,366.5690
152000,512.7430
153000,391.7098
154000,507.8533
155000,455.5343
156000,522.8187
157000,473.4261
158000,467.1616
159000,587.3562
160000,356.4245
161000,632.9398
162000,557.1538
163000,667.5268
164000,456.7829
165000,336.9321
166000,602.5907
167000,469.1060
168000,454.8963
169000,428.8638
170000,527.3024
171000,412.6814
172000,420.6295
173000,366.5828
174000,441.6643
175000,424.3002
176000,550.9103
177000,514.3497
178000,448.9402
179000,412.6881
180000,386.4959
181000,447.6077
182000,459.1251
183000,509.2328
184000,425.4140
185000,364.4456
186000,369.0779
187000,428.0576
188000,623.4162
189000,474.7184
190000,338.6645
191000,315.7014
192000,364.4213
193000,605.7284
194000,427.0706
195000,380.9121
196000,549.4645
197000,525.2860
198000,536.2059
199000,443.8226
200000,639.6726
201000,497.4094
202000,518.0798
203000,527.8976
204000,578.7426
205000,416.4345
206000,352.7940
207000,364.5100
208000,473.0674
209000,489.4503
210000,546.3920
211000,381.5797
212000,511.8703
213000,394.9290
214000,597.3132
215000,596.9478
216000,561.9582
217000,390.4005
218000,413.7848
219000,519.9580
220000,251.9258
221000,476.1106
222000,442.8366
223000,167.7775
224000,306.5004
225000,583.6118
226000,608.4407
227000,174.3202
228000,258.3266
229000,286.5565
230000,388.0982
231000,145.2262
232000,409.8309
233000,474.3108
234000,381.2742
235000,495.3554
236000,495.1001
237000,265.6942
238000,545.5807
239000,378.3319
240000,437.8174
241000,368.2119
242000,417.3790
243000,470.8571
244000,458.0215
245000,97.0830
246000,638.0500
247000,385.9258
248000,530.2425
249000,247.0564
250000,498.8329
251000,380.1342
252000,429.3110
253000,562.3774
254000,329.1283
255000,298.5877
256000,551.4390
257000,512.2211
258000,377.5625
259000,514.3495
260000,559.5077
261000,406.4639
262000,592.6881
263000,374.6153
264000,373.6521
265000,202.9491
266000,264.8413
267000,550.5690
268000,441.8287
269000,405.8730
270000,459.5731
271000,438.1481
272000,285.8307
273000,276.6160
274000,490.2103
275000,539.2841
276000,499.3932
277000,272.0513
278000,325.6108
279000,640.0373
280000,176.1949
281000,246.9921
282000,265.7668
283000,516.7909
284000,425.5742
285000,391.7180
286000,515.8337
287000,517.3792
288000,357.1858
289000,454.9996
290000,318.8665
291000,377.3268
292000,329.3167
293000,437.1452
294000,435.4020
295000,430.2065
296000,303.3416
297000,334.5275
298000,480.7032
299000,176.2119
300000,447.8276
301000,362.3433
302000,360.7488
303000,376.2617
304000,487.5266
305000,517.5921
306000,578.9610
307000,431.3104
308000,463.6315
309000,509.2112
310000,346.1872
311000,556.2334
312000,347.6771
313000,389.8343
314000,342.7332
315000,492.1879
316000,492.4842
317000,380.8526
318000,327.2257
319000,417.1820
320000,421.4887
321000,358.8330
322000,478.5176
323000,528.1532
324000,577.7600
325000,492.5444
326000,371.4301
327000,365.6690
328000,588.6884
329000,390.4532
330000,532.4897
331000,468.7854
332000,560.6163
333000,417.0478
334000,485.6616
335000,478.9144
336000,527.2424
337000,511.2047
338000,420.4649
339000,540.1479
340000,397.7617
341000,453.4259
342000,647.2693
343000,493.2857
344000,496.3838
345000,400.7060
346000,548.7635
347000,558.4776
348000,555.1544
349000,538.4500
350000,588.4218
351000,346.3144
352000,633.6175
353000,565.3925
354000,491.6339
355000,602.5909
356000,567.9859
357000,392.4680
358000,498.1137
359000,460.6543
360000,503.2220
361000,345.0393
362000,553.4018
363000,213.9491
364000,517.2216
365000,551.6417
366000,563.2473
367000,417.6841
368000,457.7018
369000,511.7356
370000,532.6115
371000,478.2230
372000,389.3945
373000,375.4263
374000,499.7991
375000,464.5858
376000,540.0987
377000,463.1438
378000,523.0479
379000,427.9243
380000,443.9836
381000,521.2415
382000,350.4791
383000,565.2626
384000,628.7317
385000,394.7032
386000,439.0795
387000,489.3511
388000,555.4018
389000,512.4327
390000,641.6231
391000,419.8360
392000,476.8127
393000,516.8963
394000,307.2914
395000,358.5072
396000,392.4938
397000,620.7523
398000,546.8319
399000,430.6774
400000,604.2080
401000,386.6685
402000,243.7044
403000,325.2473
404000,473.6612
405000,319.9573
406000,327.2077
407000,655.1092
408000,375.6325
409000,413.1628
410000,411.1368
411000,476.6698
412000,333.4206
413000,502.1560
414000,423.0415
415000,605.4155
416000,332.8583
417000,330.9220
418000,389.8388
419000,400.4401
420000,464.4780
421000,427.6460
422000,313.2964
423000,292.7050
424000,518.9549
425000,497.3192
426000,296.5349
427000,498.3023
428000,334.6098
429000,376.3084
430000,354.6785
431000,447.9319
432000,572.5941
433000,349.1719
434000,578.0971
435000,566.9154
436000,522.1381
437000,363.6461
438000,499.4602
439000,417.4401
440000,500.5538
441000,470.5959
442000,589.5834
443000,369.6100
444000,436.6222
445000,435.3901
