timestep,mean_reward
512,459.2427
1024,323.5180
1536,335.3732
2048,326.6129
2560,338.2382
3072,356.7440
3584,371.7631
4096,396.2243
4608,392.7206
5120,380.6841
5632,382.7510
6144,387.1732
6656,401.2895
7168,402.0014
7680,413.6839
8192,410.6057
8704,394.4732
9216,391.6573
9728,382.3356
10240,373.3740
10752,378.7762
11264,379.4034
11776,400.7845
12288,395.4995
12800,383.8473
13312,373.6142
13824,372.3586
14336,377.2647
14848,387.7691
15360,382.1574
15872,388.7900
16384,399.4498
16896,410.7465
17408,413.4124
17920,423.7399
18432,425.6047
18944,438.2255
19456,453.6813
19968,465.7004
20480,478.1554
20992,481.4869
21504,485.7011
22016,504.3229
22528,522.2181
23040,530.4295
23552,533.5909
24064,533.9119
24576,529.0442
25088,530.2788
25600,541.9334
26112,537.6396
26624,534.3962
27136,530.7040
27648,529.0757
28160,527.0893
28672,535.3670
29184,532.4752
29696,541.3607
30208,525.2122
30720,524.8473
31232,524.1577
31744,523.6663
32256,523.3310
32768,515.4446
33280,504.1336
33792,511.3915
34304,517.7023
34816,512.7990
35328,515.2329
35840,516.0056
36352,525.9664
36864,518.9064
37376,517.3973
37888,512.8000
38400,521.5504
38912,511.6424
39424,510.4707
39936,520.8989
40448,515.3273
40960,517.0320
41472,513.2524
41984,506.8172
42496,508.7559
43008,512.2630
43520,519.2567
44032,529.2332
44544,515.9724
45056,509.3966
45568,508.0712
46080,507.3990
46592,507.6846
47104,516.9011
47616,519.9298
48128,518.7123
48640,523.4493
49152,522.3200
49664,525.8751
50176,533.5976
50688,532.9917
51200,543.5555
51712,546.8438
52224,554.5299
52736,546.8531
53248,546.4906
53760,544.1831
54272,544.9679
54784,551.8586
55296,544.5891
55808,554.1806
56320,546.4922
56832,548.6317
57344,549.0883
57856,548.4603
58368,544.8344
58880,544.8799
59392,537.2096
59904,537.8264
60416,540.4188
60928,537.3710
61440,531.2685
61952,530.3267
62464,535.1678
62976,534.6333
63488,544.3693
64000,543.8623
64512,555.1906
65024,549.3155
65536,544.7457
66048,539.1393
66560,535.9758
67072,532.8347
67584,526.7407
68096,532.2393
68608,537.7779
69120,536.2824
69632,533.8927
70144,527.1320
70656,528.3108
71168,531.0916
71680,534.8188
72192,525.5482
72704,525.9713
73216,518.3954
73728,521.6017
74240,514.5014
74752,509.8041
75264,516.5813
75776,527.0685
76288,529.6860
76800,532.6815
77312,534.5629
77824,529.4705
78336,530.9102
78848,533.2114
79360,532.8789
79872,538.6251
80384,535.6189
80896,532.6203
81408,526.1144
81920,535.8839
82432,535.9138
82944,533.2694
83456,536.3420
83968,534.7895
84480,543.7009
84992,542.8620
85504,541.5892
86016,536.8649
86528,539.2084
87040,540.8866
87552,543.3841
88064,546.3864
88576,547.1756
89088,546.7189
89600,541.7513
90112,550.7754
90624,552.2688
91136,562.6578
91648,559.8437
92160,563.0128
92672,560.7610
93184,564.4064
93696,564.8814
94208,567.0726
94720,562.9362
95232,562.1661
95744,560.2766
96256,565.6378
96768,574.3564
97280,574.8660
97792,567.5558
98304,573.3277
98816,575.1990
99328,582.9240
99840,582.9639
100352,582.5075
100864,582.8131
101376,581.4771
101888,579.0121
102400,581.3070
102912,567.6382
103424,566.4462
103936,566.1409
104448,569.7661
104960,574.1323
105472,575.2542
105984,574.0783
106496,571.5807
107008,567.8089
107520,568.8397
108032,560.5837
108544,557.3324
109056,560.8653
109568,550.7098
110080,548.1167
110592,538.6529
111104,545.1904
111616,546.1912
112128,549.4872
112640,556.0115
113152,557.9805
113664,560.7458
114176,558.5455
114688,557.7699
115200,558.3955
115712,548.0400
116224,547.1053
116736,548.2341
117248,546.6196
117760,544.8638
118272,545.9258
118784,545.0024
119296,542.8571
119808,545.5652
120320,554.9122
120832,550.5085
121344,547.3216
121856,544.4107
122368,532.5645
122880,532.7480
123392,536.4531
123904,541.5929
124416,542.2273
124928,545.8838
125440,539.4339
125952,547.2528
126464,547.2747
126976,545.8266
127488,547.9075
128000,557.3936
128512,561.4202
129024,567.2518
129536,561.5212
130048,557.8606
130560,559.7940
131072,567.4571
131584,569.9778
132096,580.3094
132608,577.4815
133120,578.4548
133632,571.5085
134144,569.8978
134656,576.6871
135168,576.5366
135680,586.0584
136192,576.9988
136704,578.3111
