sigma,RecPPO brady_deg_pearson_r,RecPPO brady_deg_episode_reward,RecPPO noisy_pearson_r,RecPPO noisy_episode_reward
0.000000,0.567834,257.1072,0.673703,483.8951
0.020408,0.674088,492.9440,0.598480,263.1628
0.040816,0.628644,480.9580,0.681358,298.7568
0.061224,0.549347,237.3329,0.670779,539.2938
0.081633,0.640323,507.4146,0.572032,242.3025
0.102041,0.563746,258.6513,0.669099,587.7169
0.122449,0.606391,361.6240,0.667063,602.4634
0.142857,0.611394,328.8533,0.559864,243.5301
0.163265,0.623304,561.5770,0.688946,541.4884
0.183673,0.565094,225.0425,0.561025,245.3986
0.204082,0.522715,234.2613,0.579868,249.2080
0.224490,0.492994,117.8891,0.579055,253.2636
0.244898,0.554495,414.7946,0.593404,255.4621
0.265306,0.505777,124.5065,0.541842,146.6777
0.285714,0.628426,440.0780,0.561636,187.8552
0.306122,0.587527,515.2263,0.565532,257.3120
0.326531,0.572299,206.7674,0.506527,117.4284
0.346939,0.592816,341.3139,0.534765,203.7232
0.367347,0.592916,74.8693,0.519593,175.9443
0.387755,0.623100,469.2770,0.582517,163.4232
0.408163,0.619529,548.6878,0.492385,193.9057
0.428571,0.447626,151.6864,0.578186,260.8247
0.448980,0.601990,454.9982,0.646703,281.3520
0.469388,0.585003,473.5266,0.596353,309.1241
0.489796,0.514284,194.8471,0.560477,214.1033
0.510204,0.614174,83.9543,0.530144,212.0735
0.530612,0.546863,172.9890,0.464820,168.8256
0.551020,0.580762,187.1460,0.586520,265.2261
0.571429,0.536850,257.1874,0.431193,108.9724
0.591837,0.594883,110.6536,0.531791,214.5483
0.612245,0.558129,200.0929,0.512695,438.2603
0.632653,0.612810,154.5019,0.630319,393.7477
0.653061,0.503151,206.4554,0.466607,47.8121
0.673469,0.597456,502.3921,0.596612,361.6267
0.693878,0.558944,46.3257,0.495495,186.1219
0.714286,0.516581,218.6100,0.529496,-35.6341
0.734694,0.551999,221.8853,0.523540,104.8321
0.755102,0.550006,126.9333,0.610025,214.4424
0.775510,0.516556,189.7015,0.569927,444.1820
0.795918,0.546896,183.9547,0.479580,82.9853
0.816327,0.407076,121.3767,0.608206,191.8770
0.836735,0.582778,99.3059,0.573183,402.3347
0.857143,0.572023,104.2741,0.484124,84.0148
0.877551,0.440876,94.7504,0.484393,154.3447
0.897959,0.514244,158.2802,0.519464,186.6780
0.918367,0.560258,289.3972,0.512693,178.8861
0.938776,0.471861,181.6409,0.531271,331.7472
0.959184,0.503271,30.4153,0.618226,161.4473
0.979592,0.550791,198.4942,0.405578,87.6605
1.000000,0.435798,96.9686,0.412290,100.9862
