sigma,RecPPO brady_deg_pearson_r,RecPPO brady_deg_episode_reward,RecPPO noisy_pearson_r,RecPPO noisy_episode_reward
0.010000,0.586547,471.4407,0.585629,487.5100
0.014737,0.599093,508.6094,0.600951,490.9852
0.019474,0.596990,474.5871,0.592909,483.3155
0.024211,0.596221,473.7309,0.587005,460.1295
0.028947,0.601678,486.8659,0.587656,458.3482
0.033684,0.590377,465.8601,0.591658,473.2569
0.038421,0.589780,452.0160,0.596810,484.9142
0.043158,0.589275,464.3367,0.598474,473.0215
0.047895,0.599021,468.9340,0.597948,455.2679
0.052632,0.585755,454.7771,0.594153,464.0910
0.057368,0.588693,474.7525,0.593921,468.8173
0.062105,0.576561,423.1756,0.605811,482.0386
0.066842,0.585394,445.9569,0.587228,433.3920
0.071579,0.583898,437.9387,0.581039,418.0263
0.076316,0.573707,419.2086,0.575637,412.5988
0.081053,0.580391,413.0595,0.585702,431.0721
0.085789,0.577143,417.4585,0.589786,449.3240
0.090526,0.573748,414.6396,0.586201,423.9893
0.095263,0.567707,412.6350,0.587724,421.0270
0.100000,0.561848,379.7204,0.576204,404.9342
