sigma,MLP brady_deg,MLP deg,CNN-LSTM brady_deg,CNN-LSTM deg,CNN-LSTM extraobs,RecPPO brady_deg,RecPPO deg,RecPPO noisy
0.000000,0.571188,0.621162,0.550072,0.416409,0.583400,0.617474,0.529591,0.643601
0.012821,0.608931,0.611959,0.465747,0.801919,0.476890,0.728795,0.712138,0.657207
0.025641,0.535670,0.636805,0.597274,0.551062,0.597382,0.648861,0.553201,0.649861
0.038462,0.503760,0.634745,0.499457,0.466243,0.611191,0.567891,0.519260,0.584599
0.051282,0.537072,0.559998,0.476910,0.429785,0.520138,0.622493,0.528620,0.610610
0.064103,0.471480,0.596790,0.491107,0.442492,0.554347,0.674599,0.504316,0.638965
0.076923,0.555113,0.559153,0.497181,0.412176,0.572732,0.694024,0.623425,0.658012
0.089744,0.547504,0.615469,0.520347,0.411665,0.546549,0.564236,0.590037,0.619812
0.102564,0.584190,0.512813,0.466416,0.403050,0.550950,0.577997,0.590283,0.665019
0.115385,0.561691,0.548148,0.567805,0.387572,0.532173,0.611782,0.530905,0.674647
0.128205,0.555965,0.536032,0.534229,0.384743,0.511865,0.557214,0.528835,0.620163
0.141026,0.453305,0.631525,0.473608,0.430571,0.548395,0.617133,0.727074,0.627159
0.153846,0.501648,0.583623,0.490466,0.407184,0.487402,0.620500,0.508866,0.555641
0.166667,0.575948,0.585968,0.542003,0.462943,0.484639,0.564359,0.566220,0.578491
0.179487,0.612502,0.594896,0.520441,0.352778,0.566294,0.488137,0.749283,0.563363
0.192308,0.467828,0.586509,0.582221,0.555159,0.528346,0.609198,0.486839,0.599948
0.205128,0.586760,0.551073,0.561894,0.562298,0.466829,0.585758,0.495617,0.557251
0.217949,0.567138,0.564904,0.546122,0.399988,0.529576,0.615147,0.684721,0.526952
0.230769,0.486649,0.628304,0.465160,0.483523,0.512770,0.594265,0.356720,0.673978
0.243590,0.605855,0.471930,0.471403,0.431817,0.513183,0.571804,0.527409,0.593736
0.256410,0.435998,0.564075,0.542643,0.562037,0.548607,0.510759,0.646642,0.557129
0.269231,0.541141,0.513235,0.466395,0.415504,0.549680,0.636438,0.677760,0.570418
0.282051,0.512392,0.633568,0.462516,0.464886,0.504605,0.586795,0.732411,0.524806
0.294872,0.507621,0.537164,0.528612,0.452273,0.598679,0.498945,0.510342,0.568518
0.307692,0.530217,0.502819,0.495774,0.444403,0.599509,0.490052,0.521763,0.545205
0.320513,0.440104,0.550788,0.548451,0.470443,0.529390,0.491238,0.705003,0.478169
0.333333,0.584265,0.561395,0.531550,0.445293,0.554597,0.563082,0.504270,0.643433
0.346154,0.561541,0.563069,0.534710,0.470662,0.507451,0.626779,0.468716,0.512873
0.358974,0.541956,0.526223,0.543172,0.393362,0.556814,0.571472,0.501411,0.640892
0.371795,0.556293,0.594040,0.511164,0.468235,0.502028,0.543431,0.743947,0.478554
0.384615,0.488691,0.497193,0.585246,0.600070,0.518043,0.530134,0.504696,0.625465
0.397436,0.496303,0.510803,0.528536,0.493508,0.558457,0.579060,0.565878,0.579905
0.410256,0.432477,0.429333,0.470335,0.466525,0.573028,0.447088,0.599216,0.545374
0.423077,0.606161,0.517259,0.524454,0.548834,0.598150,0.546561,0.692730,0.485904
0.435897,0.463264,0.523888,0.486955,0.405192,0.503936,0.509402,0.601637,0.545054
0.448718,0.507463,0.533355,0.462907,0.492301,0.509001,0.642610,0.495977,0.485574
0.461538,0.544850,0.536970,0.504640,0.448042,0.557698,0.506560,0.504908,0.564857
0.474359,0.468571,0.496015,0.497392,0.441267,0.562150,0.551909,0.527546,0.425298
0.487179,0.503629,0.570233,0.475572,0.490738,0.512259,0.645532,0.519032,0.518039
0.500000,0.544369,0.527748,0.494758,0.490663,0.600041,0.540983,0.550628,0.618537
