policy,severity_quartile,pearson_r_mean,pearson_r_std,pearson_r_min,pearson_r_max,pearson_r_p5,pearson_r_p25,pearson_r_p50,pearson_r_p75,pearson_r_p95,pearson_r_p99,n,goal_rate,reward_mean,reward_std
policy_brady_deg_recurrent,Q1 mild,0.754037,0.191948,-0.279555,0.992925,0.353554,0.712728,0.802339,0.879412,0.953761,0.980319,1000,1.000,599.694574,159.809957
policy_brady_deg_recurrent,Q2,0.647816,0.197853,-0.701436,0.924846,0.315469,0.592683,0.688795,0.774446,0.856921,0.891468,1000,0.994,529.907161,245.740729
policy_brady_deg_recurrent,Q3,0.570920,0.212108,-0.905525,0.826412,0.270504,0.513627,0.624881,0.698763,0.776448,0.804223,1000,0.894,485.604295,302.443236
policy_brady_deg_recurrent,Q4 severe,0.535332,0.205236,-0.894976,0.771111,0.285334,0.504533,0.567552,0.645744,0.716018,0.744355,1000,0.752,407.489253,353.554892
policy_deg_recurrent,Q1 mild,0.701380,0.173665,0.223618,0.982096,0.313395,0.628670,0.734114,0.826473,0.922728,0.960460,1000,1.000,550.322074,180.021182
policy_deg_recurrent,Q2,0.569265,0.172906,-0.192800,0.910981,0.217749,0.493129,0.587789,0.689513,0.820002,0.863225,1000,0.890,342.971287,289.514058
policy_deg_recurrent,Q3,0.463358,0.253535,-0.975297,0.982435,0.046356,0.428971,0.511513,0.588771,0.719406,0.894890,1000,0.511,74.181334,293.604087
policy_deg_recurrent,Q4 severe,-0.073542,0.711134,-0.976383,0.986395,-0.949293,-0.890034,0.435681,0.552441,0.661144,0.943833,1000,0.339,32.783523,258.619369
policy_brady_deg,Q1 mild,0.720219,0.166110,0.114539,0.983812,0.358007,0.635402,0.752626,0.841220,0.934261,0.965154,1000,1.000,562.826349,160.211961
policy_brady_deg,Q2,0.594701,0.157901,0.053950,0.909240,0.289242,0.502588,0.614380,0.711120,0.822799,0.873332,1000,0.988,447.203246,237.179819
policy_brady_deg,Q3,0.507129,0.212068,-0.971466,0.982013,0.190734,0.457817,0.529513,0.631006,0.740290,0.788582,1000,0.870,385.114480,290.109448
policy_brady_deg,Q4 severe,0.477212,0.286818,-0.956513,0.735932,0.176407,0.461060,0.541481,0.615600,0.693876,0.726336,1000,0.768,377.424867,327.206805
policy_deg,Q1 mild,0.739468,0.207656,-0.028597,0.992611,0.271281,0.650086,0.809743,0.889699,0.961133,0.980960,1000,1.000,501.577032,252.415677
policy_deg,Q2,0.633991,0.191059,-0.297314,0.916856,0.262590,0.529986,0.690000,0.768265,0.860046,0.899690,1000,0.972,373.512607,290.786217
policy_deg,Q3,0.527376,0.238149,-0.987374,0.963341,0.168337,0.503512,0.607722,0.663252,0.728130,0.758853,1000,0.819,184.795993,289.333214
policy_deg,Q4 severe,0.486099,0.361648,-0.957717,0.785928,-0.759064,0.522471,0.581727,0.637675,0.707121,0.733358,1000,0.724,297.793471,331.217347
policy_brady_deg_recurrent_noisy,Q1 mild,0.755855,0.172607,0.262823,0.985863,0.356026,0.709618,0.794801,0.870490,0.958614,0.974716,1000,1.000,596.368286,148.791170
policy_brady_deg_recurrent_noisy,Q2,0.666383,0.175895,-0.497806,0.930684,0.302140,0.604712,0.706396,0.793566,0.865559,0.898843,1000,0.992,530.216226,240.992112
policy_brady_deg_recurrent_noisy,Q3,0.565801,0.244735,-0.954001,0.832043,0.270651,0.518992,0.623877,0.707141,0.777191,0.805077,1000,0.863,461.399285,319.280357
policy_brady_deg_recurrent_noisy,Q4 severe,0.508021,0.314027,-0.964801,0.794195,0.268248,0.515708,0.570963,0.645495,0.724211,0.756445,1000,0.767,409.843950,349.905233
no_exo,Q1 mild,0.668494,0.158634,0.219626,0.950307,0.321145,0.602355,0.690534,0.784363,0.881213,0.919637,1000,0.967,388.300098,331.784110
no_exo,Q2,0.549871,0.146692,0.027242,0.819099,0.235803,0.497393,0.579200,0.646081,0.741310,0.786217,1000,0.413,83.728204,383.481460
no_exo,Q3,0.480901,0.283496,-0.914335,0.984284,0.024668,0.433104,0.543152,0.627939,0.776773,0.973995,1000,0.140,-45.565641,307.347651
no_exo,Q4 severe,-0.607959,0.547216,-0.965028,0.982155,-0.945336,-0.883732,-0.817459,-0.755993,0.826796,0.969230,1000,0.076,-56.567960,264.181345
healthy_policy,Q1 mild,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1000,1.000,750.375793,0.000000
healthy_policy,Q2,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1000,1.000,750.424336,0.000000
healthy_policy,Q3,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1000,1.000,750.066578,0.000000
healthy_policy,Q4 severe,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1000,1.000,750.139446,0.000000
