policy,angle_bin,pearson_r_mean,pearson_r_std,pearson_r_min,pearson_r_max,pearson_r_p5,pearson_r_p25,pearson_r_p50,pearson_r_p75,pearson_r_p95,pearson_r_p99,n,goal_rate,reward_mean,reward_std
policy_brady_deg_recurrent,0.5-1.0,0.403744,0.277482,-0.905525,0.886432,-0.184539,0.326196,0.428689,0.601145,0.703582,0.782295,1000,1.000,737.935028,24.605864
policy_brady_deg_recurrent,1.0-1.5,0.698120,0.109868,0.423952,0.970289,0.501112,0.626967,0.695979,0.770737,0.884255,0.944280,1000,0.995,616.976141,154.457665
policy_brady_deg_recurrent,1.5-2.0,0.705914,0.139114,0.445250,0.992925,0.487943,0.593025,0.721189,0.811726,0.928849,0.971811,1000,0.872,403.790554,278.565167
policy_brady_deg_recurrent,2.0-2.5,0.700327,0.127654,0.488899,0.986538,0.526657,0.580518,0.692550,0.800177,0.927505,0.965469,1000,0.773,263.993561,291.009723
policy_deg_recurrent,0.5-1.0,0.080257,0.553023,-0.976383,0.960208,-0.948027,-0.019723,0.280610,0.467545,0.669581,0.781146,1000,0.700,500.990744,336.409398
policy_deg_recurrent,1.0-1.5,0.277265,0.626425,-0.956271,0.986395,-0.927563,0.402616,0.531352,0.654511,0.849124,0.956412,1000,0.420,119.639607,323.537981
policy_deg_recurrent,1.5-2.0,0.621364,0.136312,0.319770,0.973378,0.434610,0.511818,0.593626,0.723053,0.874371,0.928837,1000,0.874,208.976921,261.298133
policy_deg_recurrent,2.0-2.5,0.681575,0.123999,0.496132,0.982096,0.524577,0.567184,0.662408,0.772527,0.907182,0.954902,1000,0.746,170.650946,268.610107
policy_brady_deg,0.5-1.0,0.338053,0.304330,-0.971466,0.982013,-0.341790,0.281534,0.373251,0.487999,0.658116,0.791910,1000,1.000,706.109773,61.218557
policy_brady_deg,1.0-1.5,0.608258,0.116585,0.386753,0.942203,0.447002,0.518378,0.594803,0.684173,0.825692,0.899060,1000,0.996,520.890698,145.452244
policy_brady_deg,1.5-2.0,0.671824,0.128518,0.446412,0.983812,0.492455,0.559718,0.662577,0.762219,0.901629,0.959386,1000,0.886,342.179753,238.877752
policy_brady_deg,2.0-2.5,0.681124,0.121634,0.491858,0.982340,0.522958,0.568843,0.669542,0.771054,0.907529,0.952914,1000,0.744,203.388719,265.213363
policy_deg,0.5-1.0,0.316631,0.389100,-0.987374,0.963341,-0.782673,0.245468,0.367068,0.554086,0.743485,0.856583,1000,0.963,560.435260,245.892257
policy_deg,1.0-1.5,0.670514,0.115414,0.338666,0.975320,0.473193,0.607090,0.658105,0.730233,0.879899,0.939112,1000,0.974,409.820231,273.246641
policy_deg,1.5-2.0,0.701428,0.135351,0.450261,0.990534,0.501782,0.599399,0.694964,0.802288,0.934865,0.976941,1000,0.842,228.649150,285.395935
policy_deg,2.0-2.5,0.698362,0.133085,0.496339,0.992611,0.528177,0.573800,0.680713,0.807840,0.932282,0.964174,1000,0.736,158.774461,281.962763
policy_brady_deg_recurrent_noisy,0.5-1.0,0.379278,0.359629,-0.964801,0.836590,-0.679217,0.309120,0.406245,0.610425,0.740196,0.799966,1000,1.000,729.422291,29.271107
policy_brady_deg_recurrent_noisy,1.0-1.5,0.702205,0.098642,0.441533,0.954170,0.544651,0.632340,0.700322,0.772064,0.862707,0.918505,1000,0.995,607.911252,155.702787
policy_brady_deg_recurrent_noisy,1.5-2.0,0.713900,0.137071,0.445695,0.985863,0.499722,0.603303,0.726282,0.820262,0.929941,0.970243,1000,0.885,408.353395,277.267038
policy_brady_deg_recurrent_noisy,2.0-2.5,0.700676,0.132073,0.488744,0.982738,0.525293,0.571509,0.695369,0.800756,0.941742,0.971209,1000,0.742,252.140809,297.183029
no_exo,0.5-1.0,0.088514,0.548575,-0.965028,0.967345,-0.938340,0.004359,0.289013,0.476584,0.651910,0.786457,1000,0.713,506.617683,332.233866
no_exo,1.0-1.5,0.286039,0.621979,-0.953294,0.984284,-0.928262,0.425557,0.532800,0.654286,0.840218,0.975066,1000,0.395,103.515789,318.675107
no_exo,1.5-2.0,0.339264,0.617670,-0.889684,0.978211,-0.854950,0.496986,0.600502,0.695179,0.887952,0.969230,1000,0.270,-58.516381,233.156781
no_exo,2.0-2.5,0.377489,0.600050,-0.840233,0.950873,-0.799235,0.555308,0.640488,0.726344,0.856583,0.936763,1000,0.218,-181.722390,119.737994
healthy_policy,0.5-1.0,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1000,1.000,782.093071,7.204194
healthy_policy,1.0-1.5,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1000,1.000,758.618805,5.312730
healthy_policy,1.5-2.0,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1000,1.000,741.418490,5.773499
healthy_policy,2.0-2.5,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1000,1.000,718.875787,11.258823
