policy,angle_bin,Q1_mild,Q2,Q3,Q4_severe
policy_brady_deg_recurrent,0.5-1.0,1.000,1.000,1.000,1.000
policy_brady_deg_recurrent,1.0-1.5,1.000,1.000,1.000,0.980
policy_brady_deg_recurrent,1.5-2.0,1.000,1.000,0.880,0.608
policy_brady_deg_recurrent,2.0-2.5,1.000,0.976,0.696,0.420
policy_deg_recurrent,0.5-1.0,1.000,1.000,0.512,0.288
policy_deg_recurrent,1.0-1.5,1.000,0.600,0.068,0.012
policy_deg_recurrent,1.5-2.0,1.000,1.000,0.860,0.636
policy_deg_recurrent,2.0-2.5,1.000,0.960,0.604,0.420
policy_brady_deg,0.5-1.0,1.000,1.000,1.000,1.000
policy_brady_deg,1.0-1.5,1.000,1.000,1.000,0.984
policy_brady_deg,1.5-2.0,1.000,1.000,0.888,0.656
policy_brady_deg,2.0-2.5,1.000,0.952,0.592,0.432
policy_deg,0.5-1.0,1.000,1.000,0.948,0.904
policy_deg,1.0-1.5,1.000,0.992,0.920,0.984
policy_deg,1.5-2.0,1.000,0.936,0.804,0.628
policy_deg,2.0-2.5,1.000,0.960,0.604,0.380
policy_brady_deg_recurrent_noisy,0.5-1.0,1.000,1.000,1.000,1.000
policy_brady_deg_recurrent_noisy,1.0-1.5,1.000,1.000,1.000,0.980
policy_brady_deg_recurrent_noisy,1.5-2.0,1.000,1.000,0.852,0.688
policy_brady_deg_recurrent_noisy,2.0-2.5,1.000,0.968,0.600,0.400
no_exo,0.5-1.0,1.000,0.996,0.552,0.304
no_exo,1.0-1.5,1.000,0.572,0.008,0.000
no_exo,1.5-2.0,1.000,0.080,0.000,0.000
no_exo,2.0-2.5,0.868,0.004,0.000,0.000
healthy_policy,0.5-1.0,1.000,1.000,1.000,1.000
healthy_policy,1.0-1.5,1.000,1.000,1.000,1.000
healthy_policy,1.5-2.0,1.000,1.000,1.000,1.000
healthy_policy,2.0-2.5,1.000,1.000,1.000,1.000
